component,feature,gain,gain_fraction,split_count,split_fraction,gain_rank,split_rank
route_positive,router_initial_admissible_candidate_count,8582.506077528,0.1702141686585639,192,0.061875604253947794,2,6
route_positive,home_workload_share,5222.481856673956,0.1035758552965954,312,0.10054785691266516,3,2
route_positive,arrival_offset_s,3580.25357096456,0.07100605343749598,328,0.10570415726716081,4,1
route_positive,router_initial_available_kv_bytes,2598.029511511326,0.051525909735176935,252,0.08121173058330648,5,3
route_positive,router_initial_total_running_reqs,2555.5401886701584,0.05068323223527847,120,0.03867225265871737,6,11
route_positive,router_initial_max_available_kv_bytes,2418.702206492424,0.04796936717454937,191,0.061553335481791815,7,7
route_positive,home_arrivals_5s,1746.5455932617188,0.034638694513683184,133,0.042861746696745084,8,10
route_positive,request_rate_rps,1571.0184299945831,0.03115751898026405,134,0.04318401546890106,9,9
route_positive,router_initial_capacity_pressure,1541.8149427473545,0.0305783353177283,193,0.06219787302610377,10,5
route_positive,interarrival_ms,1476.217088341713,0.02927735351211357,198,0.06380921688688367,11,4
route_positive,router_initial_min_capacity_pressure,1207.6795179843903,0.023951531557656214,104,0.03351595230422172,12,13
route_positive,router_initial_min_available_kv_bytes,1169.4529027938843,0.023193395010299767,92,0.029648727038349983,13,16
route_positive,home_cached_prefix_tokens,1109.4225583076477,0.02200283189403629,95,0.03061553335481792,14,15
route_positive,router_initial_max_capacity_pressure,992.665917262435,0.019687233814483122,101,0.03254914598775379,15,14
route_positive,policy_NEAREST_MIGRATE,906.6379553377628,0.017981068052627197,21,0.00676764421527554,16,22
route_positive,policy_NEAREST_MIGRATE_KV,835.219871878624,0.016564655457824047,19,0.006123106670963584,17,25
route_positive,output_tokens,778.616190597415,0.015442052285130414,111,0.03577183370931357,18,12
route_positive,global_arrivals_5s,698.6335186958313,0.013855780876542026,87,0.028037383177570093,19,17
route_positive,router_initial_required_kv_bytes,570.03779733181,0.01130538200617737,78,0.02513696422816629,20,18
route_positive,router_initial_projected_active_kv_bytes,523.356390953064,0.010379564219764633,49,0.015791169835642927,21,19
route_positive,global_arrivals_1s,171.4683300256729,0.003400677958505875,34,0.010957138253303255,22,20
route_positive,home_arrivals_1s,141.40929973125458,0.00280452657730922,22,0.007089912987431518,23,21
route_positive,router_initial_max_waiting_reqs,123.78091102838516,0.002454908237311121,21,0.00676764421527554,24,22
route_positive,router_initial_waiting_reqs,114.85863995552063,0.002277955615373518,20,0.006445375443119562,25,24
route_positive,router_initial_total_waiting_reqs,63.4808406829834,0.0012589957321315405,8,0.002578150177247825,26,26
route_positive,router_initial_running_reqs,40.761730670928955,0.0008084147027175609,5,0.0016113438607798904,27,27
route_positive,input_tokens,7.883059978485107,0.0001563422721292051,1,0.0003222687721559781,28,28
route_positive,router_initial_max_running_reqs,0.0,0.0,0,0.0,29,29
route_positive,router_initial_slot_pressure,0.0,0.0,0,0.0,29,29
scheduler,router_initial_running_reqs,92936.6067583561,0.326168476854442,283,0.0844524022679797,1,4
scheduler,router_initial_capacity_pressure,46736.29515811801,0.16402477707388835,240,0.07162041181736795,2,6
scheduler,home_arrivals_1s,36367.43934631348,0.12763444580589708,380,0.11339898537749925,3,1
scheduler,router_initial_available_kv_bytes,35019.2448246479,0.12290284897905658,138,0.04118173679498657,4,10
scheduler,policy_NEAREST_KV,20220.610204696655,0.07096585362409197,174,0.051924798567591766,5,7
scheduler,router_initial_projected_active_kv_bytes,12355.163616657257,0.04336143785204622,73,0.02178454192778275,6,15
