prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,128,2048,309.792
16,32,128,4096,581.058
16,32,128,8192,1133.57
16,32,128,16384,2243.01
16,64,0,0,11.776
16,64,1,16,12.512
16,64,1,32,12.16
16,64,1,64,12.448
16,64,1,128,13.152
16,64,1,256,14.176
16,64,1,512,15.872
16,64,1,1024,16.416
16,64,1,2048,17.184
16,64,1,4096,19.392
16,64,1,8192,24.8
16,64,1,16384,34.336
16,64,2,16,12.832
16,64,2,32,12.511
16,64,2,64,12.8
16,64,2,128,13.952
16,64,2,256,14.784
16,64,2,512,15.584
16,64,2,1024,17.28
16,64,2,2048,19.552
16,64,2,4096,23.84
16,64,2,8192,35.648
16,64,2,16384,54.272
16,64,4,16,13.28
16,64,4,32,12.512
16,64,4,64,12.961
16,64,4,128,14.368
16,64,4,256,14.912
16,64,4,512,17.536
16,64,4,1024,19.36
16,64,4,2048,26.56
16,64,4,4096,36.192
16,64,4,8192,54.496
16,64,4,16384,87.169
16,64,8,16,12.96
16,64,8,32,12.864
16,64,8,64,12.864
16,64,8,128,13.984
16,64,8,256,15.392
16,64,8,512,22.625
16,64,8,1024,26.784
16,64,8,2048,35.872
16,64,8,4096,52.321
16,64,8,8192,89.311
16,64,8,16384,157.857
16,64,16,16,15.712
16,64,16,32,16.352
16,64,16,64,16.128
16,64,16,128,18.816
16,64,16,256,19.424
16,64,16,512,27.936
16,64,16,1024,37.824
16,64,16,2048,53.44
16,64,16,4096,89.952
16,64,16,8192,159.968
16,64,16,16384,303.009
16,64,32,16,17.088
16,64,32,32,17.408
16,64,32,64,18.592
16,64,32,128,21.12
16,64,32,256,26.208
16,64,32,512,38.624
16,64,32,1024,56.192
16,64,32,2048,91.2
16,64,32,4096,161.376
16,64,32,8192,301.345
16,64,32,16384,582.37
16,64,64,16,24.16
16,64,64,32,24.896
16,64,64,64,26.272
16,64,64,128,30.912
16,64,64,256,39.2
16,64,64,512,59.328
16,64,64,1024,94.369
16,64,64,2048,164.992
16,64,64,4096,302.529
16,64,64,8192,579.392
16,64,64,16384,1137.6
16,64,128,16,37.376
16,64,128,32,38.144
16,64,128,64,40.096
16,64,128,128,50.784
16,64,128,256,64.992
16,64,128,512,100.577
16,64,128,1024,174.945
16,64,128,2048,309.441
16,64,128,4096,581.603
16,64,128,8192,1137.22
16,64,128,16384,2241.92
16,128,0,0,13.312
16,128,1,16,13.28
16,128,1,32,13.407
16,128,1,64,13.6
16,128,1,128,13.056
16,128,1,256,14.304
16,128,1,512,16.703
16,128,1,1024,16.385
16,128,1,2048,17.184
16,128,1,4096,20.096
16,128,1,8192,24.8
16,128,1,16384,34.624
16,128,2,16,13.792
16,128,2,32,12.8
16,128,2,64,13.536
16,128,2,128,14.048
16,128,2,256,14.944
16,128,2,512,16.8
16,128,2,1024,16.832
16,128,2,2048,19.712
16,128,2,4096,23.904
16,128,2,8192,37.376
16,128,2,16384,56.16
16,128,4,16,13.056
16,128,4,32,13.216
16,128,4,64,12.992
16,128,4,128,13.728
16,128,4,256,15.296
16,128,4,512,17.216
16,128,4,1024,19.68
16,128,4,2048,30.528
16,128,4,4096,37.536
16,128,4,8192,56.16
16,128,4,16384,90.913
16,128,8,16,13.312
16,128,8,32,13.312
16,128,8,64,12.992
16,128,8,128,13.664
16,128,8,256,15.168
