scenario,policy,policy_label,request_id,input_tokens,output_tokens,realized_reuse_tokens,effective_uncached_tokens,request_rate_rps,home_arrivals_1s,home_arrivals_5s,rerouted,initial_capacity_pressure,initial_slot_pressure,initial_waiting_reqs,initial_running_reqs,initial_admissible,initial_admissible_candidate_count,initial_total_waiting_reqs,initial_total_running_reqs,initial_max_running_reqs,initial_min_capacity_pressure,initial_max_capacity_pressure,initial_target_capacity_pressure,initial_target_slot_pressure,initial_target_waiting_reqs,initial_target_running_reqs,initial_target_admissible,scheduler_waiting_reqs_at_admission,scheduler_running_reqs_at_admission,scheduler_running_decode_reqs_at_admission,scheduler_inflight_prefill_tokens_at_admission,scheduler_inflight_decode_tokens_at_admission,scheduler_available_token_budget_at_admission,scheduler_prefill_tokens_ahead_at_admission,kv_moved,kv_migration_bytes,kv_bandwidth_gbps,kv_distance_m,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_ms,e2e_ttft_ms,other_communication_ms
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,52,4000.0,521.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1900752184202866,0.0234375,0.0,2.0,1,10.0,0.0,36.0,9.0,0.061126462287433,0.6332960686457731,0.2462338056808258,0.03125,0.0,3.0,1,0.0,2.0,2.0,0.0,2.0,2046.0,0.0,0,0.0,0.0,0.0,0.0,6.798918,0.0,449.978296,456.777214,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,71,4000.0,525.0,0.0,4000.0,2.5073430794920317,1,1,0,0.2494737241766262,0.03125,0.0,3.0,1,10.0,0.0,43.0,8.0,0.1861873162253262,0.5663377530658994,0.3723746324506524,0.046875,0.0,5.0,1,0.0,3.0,2.0,2046.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.712067,0.0,679.581759,709.293826,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,70,4000.0,655.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1883472618891931,0.0234375,0.0,2.0,1,10.0,0.0,43.0,8.0,0.1879152727564197,0.568065709596993,0.3741025889817459,0.046875,0.0,5.0,1,0.0,2.0,2.0,0.0,2.0,2046.0,0.0,0,0.0,0.0,0.0,0.0,16.605019,0.0,454.577947,471.182966,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,87,4000.0,577.0,0.0,4000.0,2.5073430794920317,0,0,0,0.1859713216589395,0.0234375,0.0,2.0,1,10.0,0.0,41.0,12.0,0.1263568213362132,0.8233712870660598,0.1263568213362132,0.015625,0.0,1.0,1,0.0,2.0,2.0,0.0,2.0,2046.0,0.0,0,0.0,0.0,0.0,0.0,8.544021,0.0,449.254232,457.798253,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,100,4000.0,575.0,0.0,4000.0,2.5073430794920317,1,2,0,0.3099522027648992,0.0390625,0.0,4.0,1,10.0,0.0,40.0,8.0,0.1261408267698265,0.5726015954911134,0.1261408267698265,0.015625,0.0,1.0,1,0.0,4.0,3.0,2045.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.157865,0.0,682.858798,732.016663,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,97,4000.0,597.0,0.0,4000.0,2.5073430794920317,0,1,0,0.248177756778306,0.03125,0.0,3.0,1,10.0,0.0,38.0,8.0,0.1265728159025999,0.5730335846238868,0.1265728159025999,0.015625,0.0,1.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,17.563791,0.0,456.863615,474.427406,5.684341886080802e-14
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,114,4000.0,545.0,0.0,4000.0,2.5073430794920317,0,0,0,0.2475297730791459,0.03125,0.0,3.0,1,10.0,0.0,40.0,9.0,0.1259248322034399,0.6322160958138396,0.1881312673228064,0.0234375,0.0,2.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,18.031912,0.0,452.538345,470.570257,5.684341886080802e-14
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,139,4000.0,527.0,0.0,4000.0,2.5073430794920317,0,2,0,0.2512016807077197,0.03125,0.0,3.0,1,10.0,0.0,37.0,10.0,0.1248448593715064,0.689022666773539,0.3185919854203667,0.0390625,0.0,4.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,19.164931,0.0,452.013673,471.178604,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,126,4000.0,736.0,0.0,4000.0,2.5073430794920317,0,1,0,0.2494737241766262,0.03125,0.0,3.0,1,10.0,0.0,39.0,11.0,0.06393439165046,0.7572769497517328,0.2550895829026801,0.03125,0.0,3.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,3.44749,0.0,452.723401,456.170891,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,127,4000.0,773.0,0.0,4000.0,2.5073430794920317,1,1,0,0.3140560995262463,0.0390625,0.0,4.0,1,10.0,0.0,39.0,11.0,0.0645823753496201,0.7579249334508928,0.2557375666018401,0.03125,0.0,3.0,1,0.0,4.0,3.0,1955.0,3.0,90.0,0.0,0,0.0,0.0,0.0,0.0,193.263292,0.0,454.282861,647.546153,0.0
