environment,pp,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_router_capacity_wait_ms,p95_router_capacity_wait_ms,max_router_capacity_wait_ms,initially_inadmissible_requests,capacity_retry_count,max_capacity_retries_per_request,min_available_kv_gb,mean_scheduler_queue_ms,mean_compute_prefill_ms,mean_rtt_other_comm_ms,mean_residual_ms,mean_gpu_utilization_pct,estimated_cluster_power_w,estimated_electricity_yen_per_hour,estimated_electricity_yen_per_1000_requests,miyabi_yen_per_1000_requests,elapsed_s
apn,1,6,600,1117.4682291166666,606.063861,3933.234865199997,5938.345354619999,1057.9983645983334,3876.5457081499967,9796.56729,414,25449,375,0.001603192,9.124305233333333,49.06141256833334,1.2842559333333334,6.751666666666666e-05,85.09311459470133,6266.232698212091,144.1233520588781,1.4551269372635247,3.0894982419,21.808222884
cloud,1,6,600,61.76379518333333,51.355542,133.20431334999992,157.31835246999995,0.0,0.0,0.0,0,0,0,55.689032327,10.422371758333332,50.055416785,1.2860066399999999,0.0,85.38402882768801,6284.455565766377,144.54247801262667,1.260159779308779,2.667789412291667,18.831454675
apn,1,7,600,1582.1241260333331,1119.987219,5318.686286499997,7603.42020671,1521.2584854283332,5237.940208049995,8909.07713,439,37339,363,0.001603192,9.380074138333333,50.20141975,1.2842559333333334,6.751666666666666e-05,84.65633379344202,6238.872748821208,143.49407322288778,1.4429232305935,3.07702261595,21.720159642
cloud,1,7,600,66.16777598833335,54.0660135,141.33707434999982,187.16990549999994,0.0,0.0,0.0,0,0,0,52.119679623,12.366145824999998,52.51562352333333,1.2860066399999999,0.0,82.96778952544011,6133.102335873569,141.0613537250921,1.1780368705562876,2.55547868265,18.038673054
apn,1,8,600,1941.6809556250003,1435.9272025,6175.022580599998,8157.045809069999,1882.0055568516666,6125.7240067,10146.048232,457,46872,400,0.001603192,9.240336253333334,49.15091580333333,1.2842559333333334,6.751666666666666e-05,83.92309292657032,6192.942540920365,142.4376784411684,1.4168711988380456,3.043875690683333,21.486181346
cloud,1,8,600,71.482481295,57.121383,155.76554809999988,208.84225519,0.0,0.0,0.0,0,0,0,46.486729351,14.886887811666668,55.309586843333335,1.2860066399999999,0.0,81.29289394459998,6028.186876689742,138.64829816386407,1.1207056115533,2.4734231986750004,17.459457873
apn,1,9,600,2377.4721557166667,1817.3621475,7049.207136849999,8699.03728731,2315.933761298333,6948.324158449997,9853.792022,459,55725,347,0.001603192,10.547249078333333,49.706998623333334,1.2842559333333334,6.751666666666666e-05,83.73390211070327,6181.091628214452,142.1651074489324,1.4112534992828916,3.0376199795416663,21.442023385
cloud,1,9,600,79.69323122,61.755303999999995,185.62111879999978,259.8761403199999,0.0,0.0,0.0,0,0,0,41.466147463,17.72886437,60.67836021,1.2860066399999999,0.0,80.10704360126905,5953.9052111834935,136.93981985722036,1.0789875854947375,2.4110605776,17.019251136
apn,1,10,600,2591.5809771749996,2326.5249515,7077.3882255,10023.006593569999,2528.6887075433337,7004.489980349998,11254.602779,471,62480,439,0.001603192,10.563009735,51.04511318,1.2842559333333334,6.751666666666666e-05,84.40505268067913,6223.132499917741,143.13204749810805,1.3881045729403625,2.9676093281999996,20.947830552
cloud,1,10,600,90.99249011166667,64.448749,245.87281464999998,356.30953909,0.0,0.0,0.0,0,0,0,39.331246727,20.80949171,68.89699176166667,1.2860066399999999,0.0,79.2007410189274,5897.134417425612,135.63409160078908,1.0473721481427334,2.3629448433583335,16.679610659
apn,2,1,600,44.29183696666667,41.508973,71.8035689,89.58275049999993,0.0,0.0,0.0,0,0,0,11.584435832,2.010246335,42.28159063166667,0.0,0.0,97.8638748497531,7066.193120588535,162.52244177353631,5.239193873126383,9.864442766683332,69.631360706
cloud,2,1,600,44.08650249833333,41.380257,71.5731953,90.85725470999995,0.0,0.0,0.0,0,0,0,73.414161182,1.94281313,42.143689368333334,0.0,0.0,97.83883652447625,7064.624719893192,162.48636855754341,5.238288265928383,9.864927277308333,69.634780781
apn,2,2,600,46.59383971833333,42.99274,77.85819299999999,97.76447312999998,0.0,0.0,0.0,0,0,0,9.749427832,3.09121415,43.502625568333336,0.0,0.0,96.49438577570415,6980.408324990108,160.54939147477248,2.8312784476767328,5.3962908051583325,38.091464507
cloud,2,2,600,46.536106785,42.877026,78.34015915,96.23171864999999,0.0,0.0,0.0,0,0,0,71.579153182,3.2014501733333334,43.33465661166667,0.0,0.0,96.45732139884021,6978.086612423351,160.49599208573707,2.829807819014166,5.395282345466667,38.084345968
apn,2,3,600,50.09035512333334,44.3945395,84.42823489999998,139.32867462,0.0,0.0,0.0,0,0,0,6.217823864,4.24083968,45.84951544333334,0.0,0.0,94.76860535536899,6872.305439460313,158.0630251075872,2.0492336273819998,3.967186440675,28.003668993
cloud,2,3,600,49.367439435,44.557717,81.41230605,134.13695124999995,0.0,0.0,0.0,0,0,0,68.047549214,4.324447383333334,45.04299205166667,0.0,0.0,94.50546744811427,6855.822480949878,157.68391706184718,2.0424177276937083,3.9634975863083333,27.977630021
apn,2,4,600,53.367789128333335,46.78957,93.93577339999999,150.83579940999965,0.0,0.0,0.0,0,0,0,3.145496184,5.179465755,48.18832337333333,0.0,0.0,92.22199177954198,6712.78556507051,154.39406799662171,1.7045506627185332,3.378319578983333,23.846961734
cloud,2,4,600,53.00678153166667,46.7186575,92.35852744999994,149.00993646999964,0.0,0.0,0.0,0,0,0,64.975221534,5.181790433333334,47.824991098333335,0.0,0.0,91.46488679504253,6665.360508841464,153.3032917033537,1.7118877233777752,3.417001928225,24.120013611
apn,2,5,600,76.82266041833333,51.090362,256.09239794999985,398.61268435999995,18.889520488333332,194.58926234999947,434.351672,61,475,21,0.003962488,5.519785306666667,52.41335462333333,0.0,0.0,89.54826973352165,6545.303616107795,150.54198317047928,1.534151094879308,3.1184007620083336,22.012240673
cloud,2,5,600,57.53713393333333,48.9687415,113.8722813499999,179.14358433999985,0.0,0.0,0.0,0,0,0,59.683058462,6.21325375,51.32388018333333,0.0,0.0,88.83393501612011,6500.557689409763,149.51282685642454,1.5225453677266336,3.116113127683333,21.996092666
apn,2,6,600,297.80739672166663,71.18074849999999,1195.4862709499992,1787.650878249998,236.87428674833333,1147.3322720499998,2324.749505,194,5803,91,0.00081676,6.215561696666667,54.71754827666666,0.0,0.0,87.52350443303007,6418.472317685004,147.6248633067551,1.4481654620759665,3.001788597591667,21.189095983
cloud,2,6,600,64.74255437166667,54.004485,130.76520165,170.30126276999997,0.0,0.0,0.0,0,0,0,55.716295454,8.946587925000001,55.79596644666667,0.0,0.0,86.31911982667117,6343.029665942681,145.88968231668167,1.4154515687488998,2.9688746535,20.95676226
apn,2,7,600,602.2755260216667,109.97316749999999,2346.2713023499996,3370.65983036,541.4339389583333,2305.4150276499995,4150.554229,276,13736,181,0.00081676,6.060244068333334,54.781342994999996,0.0,0.0,85.03453926404434,6262.563539499738,144.03896140849398,1.4423675250276582,3.064201923858333,21.629660639
cloud,2,7,600,70.45339354166667,58.4465535,140.26140574999997,189.6015794,0.0,0.0,0.0,0,0,0,51.169669918,10.662465288333333,59.79092825333333,0.0,0.0,84.76754601469901,6245.839082360745,143.65429889429714,1.3424420161254333,2.859554222158333,20.185088627
apn,2,8,600,934.5880527033335,184.30289599999998,3301.5449843499987,4066.7361963,870.6649864266666,3244.4950724999994,5202.627579,317,21739,212,0.00081676,6.094860698333333,57.82820557833333,0.0,0.0,83.45656292987825,6163.719101927572,141.76553934433417,1.4406167181808749,3.1095618709750004,21.949848501
cloud,2,8,600,77.98763892333334,62.8657605,163.49069284999996,200.87011536,0.0,0.0,0.0,0,0,0,47.60136579,12.223245788333333,65.76439313499999,0.0,0.0,83.34964199659525,6157.021574666727,141.61149621733472,1.2820824898938918,2.770377069566667,19.555602844
apn,2,9,600,1162.205418225,436.465681,3889.8241308999995,5039.75125313,1096.3184492016667,3794.6851997999997,5441.869109,342,27846,218,0.00081676,6.676663731666666,59.210305291666664,0.0,0.0,85.19731268338869,6272.759666487468,144.27347232921178,1.4091072005987832,2.988676964808333,21.096543281
cloud,2,9,600,95.10650173500001,74.89717300000001,206.85218149999997,259.16739061,0.0,0.0,0.0,0,0,0,43.856900894,16.40437562,78.702126115,0.0,0.0,82.94636939584912,6131.760578955989,141.03049331598777,1.2418963096606253,2.69459647925,19.02068103
apn,2,10,600,1408.32911042,744.983369,4300.5341444000005,5522.810055639999,1335.6337379683332,4246.23985665,6304.062595,361,33434,259,0.00081676,8.278832731666666,64.41653972,0.0,0.0,82.92314451013773,6130.305772115028,140.99703275864564,1.4041609914075164,3.047392239141667,21.511004041
cloud,2,10,600,115.98345186666668,96.4440615,252.2776657499998,329.81700250999984,0.0,0.0,0.0,0,0,0,40.71746435,19.846998793333334,96.13645307333334,0.0,0.0,81.75708458763422,6057.263778569408,139.31706690709638,1.210612307664075,2.6590235810249996,18.769578219
