pp,environment,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,communication_ms,router_queue_ms,scheduler_queue_ms,prefill_ms,residual_ms,mean_gpu_utilization_pct,estimated_cluster_power_w,estimated_energy_wh,estimated_electricity_yen,estimated_electricity_yen_per_hour,estimated_electricity_yen_per_1000_requests,miyabi_yen_same_elapsed,miyabi_yen_per_1000_requests,elapsed_s,source_csv
1,distributed,7,600,66.165047635,54.062969,141.33377484999986,187.16865068999994,1.2842559333333334,0.0,12.365277395,52.51562352333333,6.751666666666666e-05,82.9677980482028,6133.102869739423,30.7313961414275,0.7068221112528325,141.06136600400671,1.1780368520880542,1.533287052085,2.5554784201416667,18.038671201,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_7x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,8,600,71.482481295,57.121383,155.76554809999988,208.84225519,1.2860066399999999,0.0,14.886887811666668,55.309586843333335,0.0,81.29289394459998,6028.186876689742,29.23579856226,0.67242336693198,138.64829816386407,1.1207056115533,1.4840539192050002,2.4734231986750004,17.459457873,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_8x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,8,600,71.47975294166666,57.1185225,155.76239984999987,208.83944393,1.2842559333333334,0.0,14.886019381666665,55.309586843333335,6.751666666666666e-05,81.29290257234486,6028.187417131682,29.235798080480002,0.6724233558510401,138.6483105940287,1.120705593085067,1.4840537617,2.4734229361666666,17.45945602,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_8x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,9,600,79.69323122,61.755304,185.62111879999978,259.8761403199999,1.2860066399999999,0.0,17.72886437,60.67836021,0.0,80.10704360126905,5953.9052111834935,28.1475022302975,0.6473925512968425,136.93981985722036,1.0789875854947375,1.44663634656,2.4110605776,17.019251136,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_9x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,9,600,79.69050286666666,61.752102,185.61837874999975,259.8746971399999,1.2842559333333334,0.0,17.727995940000003,60.67836021,6.751666666666666e-05,80.10705232306104,5953.905757516543,28.1475017485175,0.6473925402159025,136.9398324228805,1.0789875670265043,1.4466361890550001,2.411060315091667,17.019249283,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_9x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,10,600,90.99249011166667,64.448749,245.87281464999998,356.30953909,1.2860066399999999,0.0,20.80949171,68.89699176166667,0.0,79.2007410189274,5897.134417425612,27.32275169068,0.62842328888564,135.63409160078908,1.0473721481427334,1.4177669060150002,2.3629448433583335,16.679610659,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_10x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,10,600,91.01905847833333,64.490251,245.86996549999998,356.30729312,1.2842559333333334,0.0,20.83792,68.89699176166667,6.751666666666666e-05,79.19941148712549,5897.051135553541,27.322824491459997,0.6284249633035799,135.63217611773143,1.0473749388392997,1.41779070627,2.36298451045,16.679890662,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_10x_repeat600_seed1_1_nearest_kv/requests.csv
2,cloud,7,600,71.73940018166667,59.9562725,141.36770064999993,191.31269247999995,1.2860066399999999,0.0,10.662465288333333,59.79092825333333,0.0,84.76754601469901,6245.839082360745,35.02022650762,0.80546520967526,143.65429889429714,1.3424420161254333,1.715732533295,2.859554222158333,20.185088627,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_pp_exist/clustered_cloud/peak_7x_repeat600_seed1_pp2_1_nearest_kv/requests.csv
2,distributed,7,600,102.803059915,80.035729,230.92494424999992,262.17420046999996,1.2842559333333334,0.0,17.205576398333335,84.31322758333333,0.0,83.85836199910706,6188.887795624066,36.381592630575,0.8367766305032249,142.34441929935352,1.3946277175053747,1.79883166614,2.9980527769,21.162725484,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_pp_exist/distributed_apn/peak_7x_repeat600_seed1_pp2_1_nearest_kv/requests.csv
2,cloud,8,600,79.27364556333333,64.000772,165.99629525,202.9667296,1.2860066399999999,0.0,12.223245788333333,65.76439313499999,0.0,83.34964199659525,6157.021574666727,33.445630171145005,0.7692494939363351,141.61149621733472,1.2820824898938918,1.66222624174,2.770377069566667,19.555602844,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_pp_exist/clustered_cloud/peak_8x_repeat600_seed1_pp2_1_nearest_kv/requests.csv
