case,term,transformed_value,coefficient,contribution
capacity_boundary,input_tokens,-0.22941573387056177,1.2003373638520713,-0.2753762772203785
capacity_boundary,output_tokens,-1.368703099268227,-0.016759261165922565,0.022938452699243855
capacity_boundary,home_cached_prefix_tokens,-0.5702290488137676,0.029309092117852483,-0.016712895719958112
capacity_boundary,request_rate_rps,2.17342695276815,-0.10213597573041894,-0.22198508249976615
capacity_boundary,arrival_offset_s,-0.4711805253088416,0.13407217715863018,-0.06317219886290344
capacity_boundary,interarrival_ms,-0.9391228039701645,-0.1296567715511841,0.12176363085286707
capacity_boundary,global_arrivals_1s,4.064190084277692,-0.0406226068670686,-0.16509799602665112
capacity_boundary,global_arrivals_5s,3.1907567912513226,-0.10790610935076496,-0.34430215122846114
capacity_boundary,home_arrivals_1s,-0.5336238672362049,0.07853459201499544,-0.041907932702859446
capacity_boundary,home_arrivals_5s,1.8574265219521138,0.12211733559222265,0.2268239779191212
capacity_boundary,home_workload_share,-0.6888335954728824,0.28823088505957256,-0.19854311688191645
capacity_boundary,router_initial_waiting_reqs,-0.12253194582202237,0.09304633043358153,-0.011401147919625603
capacity_boundary,router_initial_running_reqs,1.4248579766512142,1.7425256700528462,2.4828516004942998
capacity_boundary,router_initial_required_kv_bytes,-0.3294648766661365,1.1924778548735429,-0.39287956938301083
capacity_boundary,router_initial_available_kv_bytes,-1.24400466729835,-2.3972669112056195,2.98221122629969
capacity_boundary,router_initial_projected_active_kv_bytes,1.24400466729835,2.3972669112056195,2.98221122629969
capacity_boundary,router_initial_capacity_pressure,1.2058175679991994,2.4262288555437794,2.925589378001281
capacity_boundary,router_initial_slot_pressure,1.4248579766512142,1.7425256700528462,2.4828516004942998
capacity_boundary,router_initial_admissible_candidate_count,-1.4976438761067346,-1.1936276149456668,1.7876290878752652
capacity_boundary,router_initial_total_waiting_reqs,7.6952669175315815,-0.028945819864718874,-0.22274581000579963
capacity_boundary,router_initial_max_waiting_reqs,6.279536477003088,0.04050119370190966,0.25432872321330946
capacity_boundary,router_initial_total_running_reqs,1.7531816309056476,-0.20097453757303282,-0.35234486755279804
capacity_boundary,router_initial_max_running_reqs,0.9281082394355724,-0.3278199275875237,-0.30425237584515347
capacity_boundary,router_initial_min_available_kv_bytes,-0.7710109389857596,-0.4226668519025954,0.32588076636357505
capacity_boundary,router_initial_max_available_kv_bytes,-2.2380741652266245,0.21629230066727773,-0.4840782102608637
capacity_boundary,router_initial_min_capacity_pressure,2.1654306252788174,-0.1082304834119082,-0.23436560336887705
capacity_boundary,router_initial_max_capacity_pressure,0.7262984590957531,0.49608933129500143,0.3603089168934021
capacity_boundary,policy_NEAREST_KV,1.0,0.1293844884768685,0.1293844884768685
capacity_boundary,policy_NEAREST_MIGRATE,0.0,-0.04477169752929272,-0.0
capacity_boundary,policy_NEAREST_MIGRATE_KV,0.0,-0.08571602418372766,-0.0
no_admissible_gpu,intercept,1.0,-14.013231727628632,-14.013231727628632
no_admissible_gpu,input_tokens,-0.22941573387056177,1.2003373638520713,-0.2753762772203785
no_admissible_gpu,output_tokens,-0.8395784158844799,-0.016759261165922565,0.014070713941079548
no_admissible_gpu,home_cached_prefix_tokens,-0.5702290488137676,0.029309092117852483,-0.016712895719958112
no_admissible_gpu,request_rate_rps,2.17342695276815,-0.10213597573041894,-0.22198508249976615
no_admissible_gpu,arrival_offset_s,0.22909148715035604,0.13407217715863018,0.030714794450756585
no_admissible_gpu,interarrival_ms,-0.8745549483355973,-0.1296567715511841,0.11339197114530616
no_admissible_gpu,global_arrivals_1s,2.0184568203795252,-0.0406226068670686,-0.08199497789243076
no_admissible_gpu,global_arrivals_5s,2.3037209036609516,-0.10790610935076496,-0.24858555974408172
no_admissible_gpu,home_arrivals_1s,-0.5336238672362049,0.07853459201499544,-0.041907932702859446
no_admissible_gpu,home_arrivals_5s,1.1073552383531984,0.12211733559222265,0.13522727126178324
no_admissible_gpu,home_workload_share,-0.21047693195004571,0.28823088505957256,-0.0606659523805851
no_admissible_gpu,router_initial_waiting_reqs,-0.12253194582202237,0.09304633043358153,-0.011401147919625603
no_admissible_gpu,router_initial_running_reqs,1.7348118545392313,1.7425256700528462,3.0229541892465948
no_admissible_gpu,router_initial_required_kv_bytes,-0.29286218699825317,1.1924778548735429,-0.34923167252525134
no_admissible_gpu,router_initial_available_kv_bytes,-1.5668184532426537,-2.3972669112056195,3.756082033824983
no_admissible_gpu,router_initial_projected_active_kv_bytes,1.5668184532426537,2.3972669112056195,3.756082033824983
no_admissible_gpu,router_initial_capacity_pressure,1.525573962418929,2.4262288555437794,3.701391568887067
no_admissible_gpu,router_initial_slot_pressure,1.7348118545392313,1.7425256700528462,3.0229541892465948
no_admissible_gpu,router_initial_admissible_candidate_count,-3.7262805965036616,-1.1936276149456668,4.447791421022982
no_admissible_gpu,router_initial_total_waiting_reqs,-0.407501740422964,-0.028945819864718874,0.011795471972842546
no_admissible_gpu,router_initial_max_waiting_reqs,-0.4194297166824204,0.04050119370190966,-0.0169874041996918
no_admissible_gpu,router_initial_total_running_reqs,2.5028694143157395,-0.20097453757303282,-0.5030130231477933
no_admissible_gpu,router_initial_max_running_reqs,0.9281082394355724,-0.3278199275875237,-0.30425237584515347
no_admissible_gpu,router_initial_min_available_kv_bytes,-0.781748937173482,-0.4226668519025954,0.3304193622533155
no_admissible_gpu,router_initial_max_available_kv_bytes,-4.014936455993787,0.21629230066727773,-0.8683998430998227
no_admissible_gpu,router_initial_min_capacity_pressure,3.9105774004489238,-0.1082304834119082,-0.42324368247027033
no_admissible_gpu,router_initial_max_capacity_pressure,0.7393516459113857,0.49608933129500143,0.36678446361203804
no_admissible_gpu,policy_NEAREST_KV,1.0,0.1293844884768685,0.1293844884768685
no_admissible_gpu,policy_NEAREST_MIGRATE,0.0,-0.04477169752929272,-0.0
no_admissible_gpu,policy_NEAREST_MIGRATE_KV,0.0,-0.08571602418372766,-0.0
