variant,request_id,chosen_gpu,top1_correct,regret_ms,spearman
pressure,173,2,1,0.0,0.26666666666666666
stage2_base_new_formula,173,2,1,0.0,0.35
stage2_expanded_new_formula,173,2,1,0.0,0.41666666666666663
stage2_full_features_new_formula,173,2,1,0.0,0.38333333333333336
formula_new_formula_only,175,2,0,0.18702700000005734,0.7666666666666667
pressure,175,2,0,0.18702700000005734,0.4666666666666666
stage2_base_new_formula,175,2,0,0.18702700000005734,0.8499999999999999
stage2_expanded_new_formula,175,9,1,0.0,0.9
stage2_full_features_new_formula,175,2,0,0.18702700000005734,0.8666666666666667
formula_new_formula_only,197,9,1,0.0,0.31666666666666665
pressure,197,9,1,0.0,0.26666666666666666
stage2_base_new_formula,197,4,0,18.41877599999998,0.2333333333333333
stage2_expanded_new_formula,197,4,0,18.41877599999998,0.11666666666666665
stage2_full_features_new_formula,197,4,0,18.41877599999998,-0.03333333333333333
formula_new_formula_only,203,9,1,0.0,0.8571428571428572
pressure,203,9,1,0.0,0.5952380952380953
stage2_base_new_formula,203,9,1,0.0,0.5952380952380953
stage2_expanded_new_formula,203,2,0,7.5163239999999405,0.28571428571428575
stage2_full_features_new_formula,203,8,0,346.38552100000004,-0.4047619047619048
formula_new_formula_only,205,9,0,7.183597000000077,0.5166666666666667
pressure,205,9,0,7.183597000000077,0.6833333333333333
stage2_base_new_formula,205,4,0,25.10306700000001,0.35
stage2_expanded_new_formula,205,4,0,25.10306700000001,0.35
stage2_full_features_new_formula,205,0,0,20.345889000000057,-0.06666666666666667
formula_new_formula_only,263,0,1,0.0,0.7333333333333334
pressure,263,0,1,0.0,0.5166666666666667
stage2_base_new_formula,263,8,0,37.258369000000016,0.5166666666666667
stage2_expanded_new_formula,263,3,0,17.959703999999988,0.15
stage2_full_features_new_formula,263,8,0,37.258369000000016,0.18333333333333335
formula_new_formula_only,265,0,0,2.7885420000000067,0.18333333333333335
pressure,265,2,1,0.0,0.6333333333333333
stage2_base_new_formula,265,8,0,25.22168899999997,0.03333333333333333
stage2_expanded_new_formula,265,8,0,25.22168899999997,-0.2333333333333333
stage2_full_features_new_formula,265,8,0,25.22168899999997,0.016666666666666666
formula_new_formula_only,267,2,1,0.0,0.18333333333333335
pressure,267,0,0,218.75641499999995,0.35
stage2_base_new_formula,267,8,0,26.227888000000007,0.2333333333333333
stage2_expanded_new_formula,267,8,0,26.227888000000007,0.13333333333333333
stage2_full_features_new_formula,267,8,0,26.227888000000007,0.21666666666666667
