route_probability,route_positive_ms,actual_route_positive,actual_route_ms,scenario
2.3382106493969113e-18,3651.0594183880607,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.353898540321456e-17,3651.0594183880607,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.952944581868931e-18,4280.2363356666665,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
7.684864400366053e-20,3651.0594183880607,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
6.396691404484066e-20,3651.0594183880607,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.914734519598727e-18,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.1424586300164904e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
3.1164443289872132e-18,3651.0594183880607,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.248951067504282e-16,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.466213943140569e-15,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.0360821597744174e-13,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.1750385592515825e-13,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.404313651119606e-23,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.4841451117281946e-21,4557.153145157144,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
6.138439693261943e-23,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
3.6981885396374e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
3.322537305382468e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.0832959259485006e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
8.357825056591399e-20,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.900050708033656e-23,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
5.257306909462513e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.6974615338908835e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.736984206215729e-18,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.072536347604318e-20,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
5.308930802717109e-15,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.0683554668245185e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
