pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.0188,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.0023,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0517,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,-0.2097,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.041,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.2441,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.2616,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.4339,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.3415,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,-0.2554,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.7264,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.084,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.2864,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.2015,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1266,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.2425,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.1498,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0591,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.0519,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.017,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.0377,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,-0.4688,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.0186,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,-1.6648,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,-1.2098,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,-0.0429,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,-1.6634,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.4989,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.5821,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.1461,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,-1.1942,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.6478,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.2521,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.9684,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.2505,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,-0.024,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.008,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,-4.6171,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.0355,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0167,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0543,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.0293,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,1.2621,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.3999,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.1976,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.8774,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,-0.0095,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.1496,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.4758,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0149,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.2441,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.1926,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0148,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0136,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0178,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0156,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0128,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0154,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0321,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0573,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0017,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.2218,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0084,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.289,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.052,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.033,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,-0.0955,6
