layer,tokens,time_us
act_fn,7616,179.904
act_fn,7632,179.382
act_fn,7648,180.224
act_fn,7664,181.024
act_fn,7680,181.429
act_fn,7696,184.447
act_fn,7712,181.483
act_fn,7728,181.856
act_fn,7744,182.752
act_fn,7760,182.976
act_fn,7776,183.286
act_fn,7792,183.637
act_fn,7808,184.545
act_fn,7824,183.989
act_fn,7840,184.736
act_fn,7856,186.326
act_fn,7872,186.774
act_fn,7888,188.031
act_fn,7904,187.072
act_fn,7920,186.763
act_fn,7936,187.808
act_fn,7952,188.032
act_fn,7968,187.893
act_fn,7984,188.597
act_fn,8000,189.163
act_fn,8016,190.016
act_fn,8032,190.517
act_fn,8048,190.709
act_fn,8064,190.923
act_fn,8080,191.958
act_fn,8096,192.086
act_fn,8112,192.47
act_fn,8128,191.552
act_fn,8144,192.15
act_fn,8160,193.27
act_fn,8176,193.227
act_fn,8192,193.44
down_proj,1,35.9147
down_proj,2,35.6693
down_proj,3,35.8187
down_proj,4,36.2133
down_proj,5,36.0853
down_proj,6,36.4373
down_proj,7,36.6187
down_proj,8,36.2237
down_proj,9,36.5443
down_proj,10,36.928
down_proj,11,36.8107
down_proj,12,36.8107
down_proj,13,37.0027
down_proj,14,37.0347
down_proj,15,37.0777
down_proj,16,37.088
down_proj,20,37.536
down_proj,24,37.9307
down_proj,28,38.1867
down_proj,32,37.664
down_proj,36,38.6347
down_proj,40,38.2617
down_proj,44,39.1257
down_proj,48,39.4987
down_proj,52,39.424
down_proj,56,39.6693
down_proj,60,39.9253
down_proj,64,40.0853
down_proj,80,42.0373
down_proj,96,41.8453
down_proj,112,43.1683
down_proj,128,43.3387
down_proj,144,45.8667
down_proj,160,46.091
down_proj,176,47.008
down_proj,192,44.512
down_proj,208,47.392
down_proj,224,54.08
down_proj,240,51.947
down_proj,256,54.688
down_proj,272,58.3467
down_proj,288,65.718
down_proj,304,61.9733
down_proj,320,59.1683
down_proj,336,76.6717
down_proj,352,68.2347
down_proj,368,65.6963
down_proj,384,76.1177
down_proj,400,81.4507
down_proj,416,86.443
down_proj,432,67.04
down_proj,448,71.872
down_proj,464,72.117
down_proj,480,71.5517
down_proj,496,72.3947
down_proj,512,72.352
down_proj,528,78.8267
down_proj,544,84.9177
down_proj,560,79.4027
down_proj,576,87.5413
down_proj,592,87.8507
down_proj,608,87.264
down_proj,624,86.667
down_proj,640,87.5733
down_proj,656,93.323
down_proj,672,109.451
down_proj,688,94.7733
down_proj,704,109.397
down_proj,720,109.867
down_proj,736,109.013
down_proj,752,109.824
down_proj,768,110.016
down_proj,784,110.752
down_proj,800,118.763
down_proj,816,111.008
down_proj,832,134.571
down_proj,848,116.853
down_proj,864,119.243
down_proj,880,119.137
down_proj,896,134.24
down_proj,912,128.16
down_proj,928,128.075
down_proj,944,128.278
down_proj,960,135.574
down_proj,976,135.253
down_proj,992,134.411
down_proj,1008,135.733
down_proj,1024,135.264
down_proj,1040,140.267
down_proj,1056,159.062
down_proj,1072,144.181
down_proj,1088,159.2
down_proj,1104,161.238
down_proj,1120,160.747
down_proj,1136,160.075
down_proj,1152,159.243
down_proj,1168,158.678
down_proj,1184,168.875
down_proj,1200,158.347
down_proj,1216,169.803
down_proj,1232,164.864
down_proj,1248,166.443
down_proj,1264,167.584
down_proj,1280,169.547
down_proj,1296,179.477
down_proj,1312,203.435
down_proj,1328,178.422
down_proj,1344,217.366
down_proj,1360,188.811
down_proj,1376,202.091
down_proj,1392,184.672
down_proj,1408,197.92
down_proj,1424,216.469
down_proj,1440,217.814
down_proj,1456,215.722
down_proj,1472,215.734
down_proj,1488,220.565
down_proj,1504,216.982
down_proj,1520,220.48
down_proj,1536,217.547
down_proj,1552,219.766
down_proj,1568,230.912
down_proj,1584,220.726
down_proj,1600,269.953
down_proj,1616,216.491
down_proj,1632,233.109
down_proj,1648,218.315
down_proj,1664,249.985
down_proj,1680,228.352
down_proj,1696,240.128
down_proj,1712,235.403
down_proj,1728,271.456
down_proj,1744,238.485
down_proj,1760,239.905
down_proj,1776,232.939
down_proj,1792,265.334
down_proj,1808,260.993
down_proj,1824,256.385
down_proj,1840,252.054
down_proj,1856,271.542
down_proj,1872,250.581
down_proj,1888,255.701
down_proj,1904,250.411
down_proj,1920,269.728
down_proj,1936,267.574
down_proj,1952,265.526
down_proj,1968,266.837
down_proj,1984,263.946
down_proj,2000,265.451
down_proj,2016,265.184
down_proj,2032,265.964
down_proj,2048,265.153
down_proj,2064,278.101
down_proj,2080,313.387
down_proj,2096,274.443
