feature_set,target,group,mean_mae_increase_ms,ci95_low_ms,ci95_high_ms,mean_partial_r2,n_scenarios
common,scheduler_queue_ms,policy,-0.0657671993331771,-0.12398470074990092,-0.01031918739992188,-0.061687755823566066,21
common,scheduler_queue_ms,realized_reuse,-0.27626449517167423,-0.601409853001641,0.12396796573860906,-0.10360032722517731,21
common,scheduler_queue_ms,request_demand,-0.27024556081868245,-0.790813221642256,0.1599009099790529,-0.7564749257939037,21
common,scheduler_queue_ms,routing_result,-0.0631298287428516,-0.2037570070790156,0.055417680959605115,-0.005917278534062669,21
state,compute_prefill_ms,home_cell_load,-0.021557634544866793,-0.5517128734811924,0.4533722843251919,0.0003445423823905669,7
state,compute_prefill_ms,kv_movement,0.604455667138979,-0.019937086640327298,1.7181805598247943,0.004769973896429176,7
state,compute_prefill_ms,nominal_reuse,-0.5869130899188397,-2.0904495453699647,0.41294773800998236,-0.011471804429997765,7
state,compute_prefill_ms,offered_load,2.596354803746166,-0.342783334744153,5.275229810524578,0.018040489777092987,7
state,compute_prefill_ms,policy,-0.03764524506744112,-0.07120946332479101,-0.008219498507897095,-0.00025455102775192743,7
state,compute_prefill_ms,realized_reuse,2.8280141167384043,-0.299630012013372,8.357507298563325,0.048675619313303824,7
state,compute_prefill_ms,request_demand,4.9841266564694084,-1.0639279191101167,11.634897995037546,0.03756568624343911,7
state,compute_prefill_ms,router_decision_state,1.357960958312399,0.5435209964384068,2.221287707223333,0.0034691256112591795,7
state,compute_prefill_ms,router_initial_state,-1.0995053430800545,-3.7902277224742855,2.068632188908816,-0.012266749723846226,7
state,compute_prefill_ms,routing_result,-0.04411549242915415,-0.0840325070820221,-0.01063023255876873,-0.0005862473192233779,7
state,compute_prefill_ms,scheduler_state,23.490573050689132,17.625507001441623,30.261847967054994,0.509807924831368,7
state,e2e_ttft_ms,home_cell_load,-36.13067908687894,-109.75923327024576,36.9667258277051,-4.824280362506829,7
state,e2e_ttft_ms,kv_movement,-1.2426326265976317,-12.096779785287652,9.116684215847759,-0.03641275827078031,7
state,e2e_ttft_ms,nominal_reuse,0.5216655215759342,-0.16973345518070299,1.539927694581685,0.00029089795184946066,7
state,e2e_ttft_ms,offered_load,22.03011809120832,-3.123546332894287,50.41233655218659,2.3663315996375878,7
state,e2e_ttft_ms,policy,-7.275922972280894,-30.00173636030402,18.142094786561728,-0.9060805228726606,7
state,e2e_ttft_ms,realized_reuse,-3.9726382407830476,-9.668856555934456,-0.1488652677790989,0.018908992934083577,7
state,e2e_ttft_ms,request_demand,-3.688302440938823,-14.09903023587328,3.82256534073698,-0.05666606004369796,7
state,e2e_ttft_ms,router_decision_state,357.34372072031823,261.8687148909809,470.92267489745666,13.252505360260338,7
state,e2e_ttft_ms,router_initial_state,71.67708102945213,-14.95696098627252,160.3138557870743,-4.125467191914907,7
state,e2e_ttft_ms,routing_result,-10.705067484002809,-33.821504128471894,13.837560718767026,-0.766450974775237,7
state,e2e_ttft_ms,scheduler_state,-0.20764119924469274,-11.080180684898778,9.13069691259139,-0.6861151749873626,7
state,router_queue_ms,home_cell_load,-13.635297543720137,-90.69802190406064,49.29976160767226,0.020131024391496024,7
state,router_queue_ms,kv_movement,0.3587718880096499,-7.866652869145939,9.70559986205142,-0.007782775994958723,7
state,router_queue_ms,nominal_reuse,0.26687346739007417,-0.33949178290799864,1.0827729846344596,0.00017389567444662087,7
state,router_queue_ms,offered_load,41.47066278789867,-4.0318577761596615,91.261194061197,-0.0011493968646658162,7
state,router_queue_ms,policy,-10.265069044098643,-44.00388438608977,28.69684568420941,0.015317839959143407,7
state,router_queue_ms,realized_reuse,-6.4301626868195125,-18.98714214313599,0.3317657479770135,-0.0021642193549482125,7
state,router_queue_ms,request_demand,-4.619148542496499,-13.247486552405427,0.6108432341077666,-0.0011634865898314845,7
state,router_queue_ms,router_decision_state,365.92445862178926,248.97780223393417,503.87166858904095,0.26284791623409454,7
state,router_queue_ms,router_initial_state,10.198748650017396,-172.46832239992628,182.20865382255374,0.12906956862809663,7
state,router_queue_ms,routing_result,-11.877178218619422,-39.90579336579024,14.009495230064074,-0.001345590251422446,7
state,router_queue_ms,scheduler_state,16.461898159196647,-1.512409988613424,32.868870332611564,0.016554450470670057,7
state,scheduler_queue_ms,home_cell_load,-0.5307561236341064,-2.146658465723271,1.0174337173372374,0.008511772679686185,7
state,scheduler_queue_ms,kv_movement,0.019593845751909304,0.002664399214672589,0.03923325627110939,-0.00030656693562812275,7
state,scheduler_queue_ms,nominal_reuse,0.0039751468315120265,-0.007748174689208298,0.021501189261783286,-0.0004510707981219632,7
state,scheduler_queue_ms,offered_load,1.605741510270001,-0.3385127960798689,4.827453357368371,0.008090948330631715,7
state,scheduler_queue_ms,policy,-0.02690169662731025,-0.1359672248951956,0.07388439760358827,0.0004981869376206197,7
state,scheduler_queue_ms,realized_reuse,0.015058605457054699,-0.016726458852120426,0.0545998628286878,0.00277627503102375,7
state,scheduler_queue_ms,request_demand,0.036498854848052834,-0.03329961666935383,0.1217302173711415,-0.0023328698579125895,7
state,scheduler_queue_ms,router_decision_state,4.809811092014649,0.029253619955017914,11.806410861988423,-0.010531641958675191,7
state,scheduler_queue_ms,router_initial_state,0.6606649225616285,-1.0557661266371023,2.972551894386427,0.004203098580461988,7
state,scheduler_queue_ms,routing_result,-0.021872910682802678,-0.08244749570716726,0.05351890640803297,-0.0015088851775146375,7
state,scheduler_queue_ms,scheduler_state,11.295697449631676,4.87588112427636,17.86234149235138,0.11651530523795668,7
