scenario_id,policy,n,router_queue_ms_mean_ms,router_queue_ms_mean_share,scheduler_queue_ms_mean_ms,scheduler_queue_ms_mean_share,kv_transfer_ms_mean_ms,kv_transfer_ms_mean_share,compute_prefill_ms_mean_ms,compute_prefill_ms_mean_share,other_communication_ms_mean_ms,other_communication_ms_mean_share,dominant_component
2026-07-14_input_reuse_90s_sweep/input10000_reuse05,NEAREST_MIGRATE,300,11924.574503689999,0.5803138586344504,65.12486504666667,0.024021524130080324,0.0,0.0,923.5974948733335,0.3956329270379807,0.18098843333333334,3.169019748856281e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input10000_reuse05,NEAREST_MIGRATE_KV,300,9852.901760186667,0.5594320941333703,62.75633506066639,0.023924123292480157,160.2273888693333,0.032098414054776626,758.9643534033335,0.38450700304420415,0.19151101666666667,3.8365475168736494e-05,router_queue_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse00,NEAREST_KV,300,0.0,0.0,16.506215246666667,0.05995134229485205,0.0,0.0,217.4013599733333,0.9400486577051481,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse00,NEAREST_MIGRATE,300,0.0,0.0,16.506215246666667,0.05995134229485205,0.0,0.0,217.4013599733333,0.9400486577051481,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse00,NEAREST_MIGRATE_KV,300,0.0,0.0,16.506215246666667,0.05995134229485205,0.0,0.0,217.4013599733333,0.9400486577051481,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse025,NEAREST_KV,300,0.0,0.0,12.32616525,0.060968988172194885,0.0,0.0,167.83275984666668,0.9390310118278051,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse025,NEAREST_MIGRATE,300,0.0,0.0,12.32616525,0.060968988172194885,0.0,0.0,167.83275984666668,0.9390310118278051,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse025,NEAREST_MIGRATE_KV,300,0.0,0.0,12.32616525,0.060968988172194885,0.0,0.0,167.83275984666668,0.9390310118278051,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse05,NEAREST_KV,300,0.0,0.0,10.1083604,0.07680787808493325,0.0,0.0,113.92612396666667,0.9231921219150668,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse05,NEAREST_MIGRATE,300,0.0,0.0,10.1083604,0.07680787808493325,0.0,0.0,113.92612396666667,0.9231921219150668,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input2000_reuse05,NEAREST_MIGRATE_KV,300,0.0,0.0,10.1083604,0.07680787808493325,0.0,0.0,113.92612396666667,0.9231921219150668,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse00,NEAREST_KV,300,0.0,0.0,8.341675503333333,0.12074989208783547,0.0,0.0,57.50945046000001,0.8792501079121645,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse00,NEAREST_MIGRATE,300,0.0,0.0,8.341675503333333,0.12074989208783547,0.0,0.0,57.50945046000001,0.8792501079121645,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse00,NEAREST_MIGRATE_KV,300,0.0,0.0,8.341675503333333,0.12074989208783547,0.0,0.0,57.50945046000001,0.8792501079121645,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse025,NEAREST_KV,300,0.0,0.0,8.59791315,0.1513459774649249,0.0,0.0,44.85657568333333,0.8486540225350752,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse025,NEAREST_MIGRATE,300,0.0,0.0,8.59791315,0.1513459774649249,0.0,0.0,44.85657568333333,0.8486540225350752,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse025,NEAREST_MIGRATE_KV,300,0.0,0.0,8.59791315,0.1513459774649249,0.0,0.0,44.85657568333333,0.8486540225350752,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse05,NEAREST_KV,300,0.0,0.0,8.220293069999999,0.1877302767777755,0.0,0.0,32.48582115666667,0.8122697232222245,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse05,NEAREST_MIGRATE,300,0.0,0.0,8.220293069999999,0.1877302767777755,0.0,0.0,32.48582115666667,0.8122697232222245,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_90s_sweep/input512_reuse05,NEAREST_MIGRATE_KV,300,0.0,0.0,8.220293069999999,0.1877302767777755,0.0,0.0,32.48582115666667,0.8122697232222245,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_KV,300,0.0,0.0,9.080772993333333,0.1261528506775473,0.0,0.0,59.35646607666667,0.8738471493224527,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_MIGRATE,300,0.0,0.0,9.080772993333333,0.1261528506775473,0.0,0.0,59.35646607666667,0.8738471493224527,0.0,0.0,compute_prefill_ms
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_MIGRATE_KV,300,0.0,0.0,9.080772993333333,0.1261528506775473,0.0,0.0,59.35646607666667,0.8738471493224527,0.0,0.0,compute_prefill_ms
2026-07-14_prompt6000_120s_three_policy,NEAREST_KV,300,323.01530412666665,0.056105381942441426,20.157032716666667,0.03419421250350911,0.0,0.0,407.19921007,0.9097004055540494,0.0,0.0,compute_prefill_ms
2026-07-14_prompt6000_120s_three_policy,NEAREST_MIGRATE,300,0.031332729999999996,3.446852474584289e-05,23.423636396666666,0.03924312278069523,0.0,0.0,423.1534461,0.9607003885633386,0.018581789999999997,2.2020131220447247e-05,compute_prefill_ms
