scenario_id,policy,request_id,input_tokens,output_tokens_actual,minimum_prefill_chunks,nominal_reuse_tokens,nominal_reuse_ratio,reuse_tokens_realized,reuse_preservation_ratio,reuse_lost,realized_uncached_tokens,request_rate_rps,offered_uncached_tokens_per_s,rerouted,kv_moved,migration_tokens_realized,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_prefill_ms,other_communication_ms,e2e_ttft_ms,has_scheduler_state,has_router_state,arrival_offset_s,interarrival_ms,global_arrivals_1s,home_arrivals_1s,global_arrivals_5s,home_arrivals_5s,home_workload_share,router_initial_waiting_reqs,router_initial_running_reqs,router_initial_required_kv_bytes,router_initial_available_kv_bytes,router_initial_projected_active_kv_bytes,router_initial_capacity_pressure,router_initial_slot_pressure,router_initial_admissible_candidate_count,router_initial_total_waiting_reqs,router_initial_max_waiting_reqs,router_initial_total_running_reqs,router_initial_max_running_reqs,router_initial_min_available_kv_bytes,router_initial_max_available_kv_bytes,router_initial_min_capacity_pressure,router_initial_max_capacity_pressure,router_decision_waiting_reqs,router_decision_running_reqs,router_decision_available_kv_bytes,router_decision_projected_active_kv_bytes,router_decision_capacity_pressure,router_decision_slot_pressure,router_capacity_retry_count,scheduler_waiting_reqs_at_first_schedule,scheduler_running_reqs_at_first_schedule,scheduler_running_decode_reqs_at_first_schedule,scheduler_scheduled_prefill_tokens,scheduler_scheduled_decode_tokens,scheduler_batch_num_seqs,scheduler_prefill_tokens_ahead,reconstruction_error_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,124,6000.0,580.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,18.82378,0.0,700.369978,0.0,719.193758,1,1,41.247454248,484.831129,1,0,17,1,0.08666666666666667,0.0,2.0,864026624.0,7964450816.0,1744830464.0,0.2686972405850415,0.0234375,9.0,0.0,0.0,65.0,11.0,98033664.0,9709281280.0,0.088989761351316,1.0788928591015132,0.0,2.0,7964450816.0,1744830464.0,0.2686972405850415,0.0234375,0.0,1.0,0.0,0.0,2046.0,2.0,3.0,0.0,-1.1368683772161603e-13
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,135,6000.0,587.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,361.666546,0.0,953.86098,0.0,1315.527526,1,1,44.412981964,113.349652,2,1,14,2,0.08666666666666667,0.0,4.0,864026624.0,6213328896.0,3495952384.0,0.4490527035179271,0.0390625,8.0,0.0,0.0,70.0,11.0,98033664.0,9709281280.0,0.088989761351316,1.0788928591015132,0.0,4.0,6213328896.0,3495952384.0,0.4490527035179271,0.0390625,0.0,1.0,0.0,0.0,2045.0,3.0,5.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,134,6000.0,761.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,11.357638,0.0,719.629679,0.0,730.987317,1,1,44.299632312,819.084018,1,0,13,1,0.08666666666666667,0.0,3.0,887095296.0,7100424192.0,2608857088.0,0.3600629421666111,0.03125,8.0,0.0,0.0,69.0,11.0,98033664.0,9709281280.0,0.0913657015815695,1.081268799331767,0.0,3.0,7100424192.0,2608857088.0,0.3600629421666111,0.03125,0.0,1.0,0.0,0.0,2045.0,3.0,4.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,147,6000.0,707.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,17.091402,0.0,717.134642,0.0,734.226044,1,1,46.823206526,99.654295,6,0,20,2,0.08666666666666667,0.0,5.0,880803840.0,5349302272.0,4359979008.0,0.5397704214003366,0.046875,7.0,1.0,1.0,73.0,11.0,20439040.0,7998005248.0,0.266969284053948,1.0886126145889143,0.0,5.0,5349302272.0,4359979008.0,0.5397704214003366,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,199,6000.0,513.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,173.194381,0.0,731.237886,0.0,904.432267,1,1,59.62706315,562.46473,3,1,14,2,0.08666666666666667,0.0,5.0,855638016.0,5336719360.0,4372561920.0,0.5384744540020165,0.046875,7.0,0.0,0.0,74.0,11.0,35119104.0,7054286848.0,0.3615749041313179,1.0845087178275672,0.0,5.0,5336719360.0,4372561920.0,0.5384744540020165,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,198,6000.0,518.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,4.370259,0.0,731.288852,0.0,735.659111,1,1,59.06459842,176.93368,4,0,17,1,0.08666666666666667,0.0,4.0,855638016.0,6192357376.0,3516923904.0,0.4503486709162472,0.0390625,7.0,1.0,1.0,74.0,11.0,35119104.0,7054286848.0,0.3615749041313179,1.0845087178275672,0.0,4.0,6192357376.0,3516923904.0,0.4503486709162472,0.0390625,0.0,1.0,0.0,0.0,2044.0,4.0,5.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,206,6000.0,526.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,12.856052,0.0,727.551141,0.0,740.407193,1,1,61.644475338,316.624785,3,0,16,2,0.08666666666666667,0.0,5.0,855638016.0,5345107968.0,4364173312.0,0.5376104757364698,0.046875,6.0,0.0,0.0,74.0,11.0,35119104.0,7129784320.0,0.3537990997413971,1.0845087178275672,0.0,5.0,5345107968.0,4364173312.0,0.5376104757364698,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,189,6000.0,743.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,11.407008,0.0,725.789206,0.0,737.196214,1,1,56.4081428,389.18293,2,0,21,0,0.08666666666666667,0.0,4.0,884998144.0,6213328896.0,3495952384.0,0.451212649181794,0.0390625,6.0,0.0,0.0,83.0,11.0,35119104.0,6221717504.0,0.4503486709162472,1.0875326417569808,0.0,4.0,6213328896.0,3495952384.0,0.451212649181794,0.0390625,0.0,1.0,0.0,0.0,2044.0,4.0,5.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,221,6000.0,589.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,19.37545,0.0,725.742468,0.0,745.117918,1,1,66.479471075,188.985596,4,0,15,1,0.08666666666666667,0.0,4.0,864026624.0,6257369088.0,3451912192.0,0.4445168176238066,0.0390625,7.0,0.0,0.0,79.0,11.0,39313408.0,6257369088.0,0.4445168176238066,1.0849407069603405,0.0,4.0,6257369088.0,3451912192.0,0.4445168176238066,0.0390625,0.0,1.0,0.0,0.0,2044.0,4.0,5.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,229,6000.0,611.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,10.032694,0.0,733.420381,0.0,743.453075,1,1,68.76920624,56.83699,5,0,17,2,0.08666666666666667,0.0,6.0,868220928.0,4506247168.0,5203034112.0,0.6253042696894656,0.0546875,8.0,0.0,0.0,83.0,11.0,87547904.0,6190260224.0,0.451860632880954,1.08040482106622,0.0,6.0,4506247168.0,5203034112.0,0.6253042696894656,0.0546875,0.0,1.0,0.0,0.0,2042.0,6.0,7.0,0.0,0.0
