feature_set,target,group,feature,coefficient_ms_per_sd,absolute_coefficient
common,e2e_ttft_ms,routing_result,rerouted,4176.357466378324,4176.357466378324
common,e2e_ttft_ms,kv_movement,kv_moved,-1124.5661505489682,1124.5661505489682
common,e2e_ttft_ms,kv_movement,migration_tokens_realized,-2181.5391225424933,2181.5391225424933
common,e2e_ttft_ms,policy,policy_NEAREST_KV,1025.5193123546642,1025.5193123546642
common,e2e_ttft_ms,policy,policy_NEAREST_MIGRATE,-370.81359867664946,370.81359867664946
common,e2e_ttft_ms,policy,policy_NEAREST_MIGRATE_KV,-654.7057136882055,654.7057136882055
state,router_queue_ms,request_demand,output_tokens_actual,0.6850343927930489,0.6850343927930489
state,router_queue_ms,request_demand,minimum_prefill_chunks,5.361938098674109,5.361938098674109
state,router_queue_ms,nominal_reuse,nominal_reuse_tokens,-5.361938098675059,5.361938098675059
state,router_queue_ms,nominal_reuse,nominal_reuse_ratio,-5.36193809867473,5.36193809867473
state,router_queue_ms,realized_reuse,reuse_tokens_realized,-5.36193809867447,5.36193809867447
state,router_queue_ms,realized_reuse,reuse_preservation_ratio,-5.36193809867504,5.36193809867504
state,router_queue_ms,realized_reuse,realized_uncached_tokens,5.361938098675579,5.361938098675579
state,router_queue_ms,offered_load,request_rate_rps,-2.593017360487348,2.593017360487348
state,router_queue_ms,offered_load,offered_uncached_tokens_per_s,5.257699198442374,5.257699198442374
state,router_queue_ms,offered_load,arrival_offset_s,1.188066747703249,1.188066747703249
state,router_queue_ms,offered_load,interarrival_ms,-1.7587781852151168,1.7587781852151168
state,router_queue_ms,offered_load,global_arrivals_1s,-0.41820861470559767,0.41820861470559767
state,router_queue_ms,offered_load,global_arrivals_5s,0.04103063344139335,0.04103063344139335
state,router_queue_ms,home_cell_load,home_arrivals_1s,3.349120257401113,3.349120257401113
state,router_queue_ms,home_cell_load,home_arrivals_5s,-5.572700324207309,5.572700324207309
state,router_queue_ms,home_cell_load,home_workload_share,-0.5453126741015721,0.5453126741015721
state,router_queue_ms,routing_result,rerouted,0.5137929299633056,0.5137929299633056
state,router_queue_ms,kv_movement,migration_tokens_realized,-5.361938098675333,5.361938098675333
state,router_queue_ms,scheduler_state,scheduler_waiting_reqs_at_first_schedule,7.323873180112658,7.323873180112658
state,router_queue_ms,scheduler_state,scheduler_scheduled_prefill_tokens,-40.28144568039161,40.28144568039161
state,router_queue_ms,scheduler_state,scheduler_scheduled_decode_tokens,36.91701683129523,36.91701683129523
state,router_queue_ms,scheduler_state,scheduler_batch_num_seqs,-13.249201705131021,13.249201705131021
state,router_queue_ms,policy,policy_NEAREST_KV,12.487232855451285,12.487232855451285
state,router_queue_ms,policy,policy_NEAREST_MIGRATE,-4.822658539666303,4.822658539666303
state,router_queue_ms,policy,policy_NEAREST_MIGRATE_KV,-7.664574315715026,7.664574315715026
state,scheduler_queue_ms,request_demand,output_tokens_actual,0.505516156416599,0.505516156416599
state,scheduler_queue_ms,request_demand,minimum_prefill_chunks,6.74701908652261,6.74701908652261
state,scheduler_queue_ms,nominal_reuse,nominal_reuse_tokens,-6.747019086523309,6.747019086523309
state,scheduler_queue_ms,nominal_reuse,nominal_reuse_ratio,-6.747019086524164,6.747019086524164
state,scheduler_queue_ms,realized_reuse,reuse_tokens_realized,-6.747019086522601,6.747019086522601
state,scheduler_queue_ms,realized_reuse,reuse_preservation_ratio,-6.7470190865245865,6.7470190865245865
state,scheduler_queue_ms,realized_reuse,realized_uncached_tokens,6.747019086522473,6.747019086522473
state,scheduler_queue_ms,offered_load,request_rate_rps,0.653948416888796,0.653948416888796
state,scheduler_queue_ms,offered_load,offered_uncached_tokens_per_s,7.2878163426816,7.2878163426816
state,scheduler_queue_ms,offered_load,arrival_offset_s,-0.5478360796459633,0.5478360796459633
state,scheduler_queue_ms,offered_load,interarrival_ms,-1.093747503346056,1.093747503346056
state,scheduler_queue_ms,offered_load,global_arrivals_1s,2.1004071332567538,2.1004071332567538
state,scheduler_queue_ms,offered_load,global_arrivals_5s,0.40021777747629306,0.40021777747629306
state,scheduler_queue_ms,home_cell_load,home_arrivals_1s,33.97357584107298,33.97357584107298
state,scheduler_queue_ms,home_cell_load,home_arrivals_5s,0.7553650639119028,0.7553650639119028
state,scheduler_queue_ms,home_cell_load,home_workload_share,3.3572091816262857,3.3572091816262857
state,scheduler_queue_ms,routing_result,rerouted,-0.2605261567234916,0.2605261567234916
