feature_set,fold,test_scenario,target,group,n_test,full_mae_ms,ablated_mae_ms,mae_increase_ms,full_r2,partial_r2
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,nominal_reuse,900,111.02147984031178,109.37319110586638,-1.6482887344454014,0.07856267468217182,-0.0011614437632957442
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,realized_reuse,900,111.02147984031178,109.67850109155621,-1.34297874875557,0.07856267468217182,-0.0031761512481863763
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,offered_load,900,111.02147984031178,107.6665004803586,-3.354979359953191,0.07856267468217182,-0.002011035360049984
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,home_cell_load,900,111.02147984031178,117.34371707794095,6.322237237629167,0.07856267468217182,0.07769479682708125
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,policy,900,111.02147984031178,111.05815963286986,0.03667979255807552,0.07856267468217182,0.0003270664512737831
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,routing_result,900,111.02147984031178,110.40767603228726,-0.613803808024528,0.07856267468217182,-0.0003853639894113581
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,scheduler_queue_ms,kv_movement,900,111.02147984031178,109.26255312943792,-1.7589267108738653,0.07856267468217182,-2.7372019960614224e-06
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,request_demand,900,45.6080921854651,46.72124559838165,1.113153412916553,0.5875334383997699,0.042385297355709506
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,nominal_reuse,900,45.6080921854651,49.407740121521655,3.7996479360565587,0.5875334383997699,0.03130175942293201
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,realized_reuse,900,45.6080921854651,45.19917538890367,-0.408916796561428,0.5875334383997699,0.015110489923941817
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,offered_load,900,45.6080921854651,46.563777289743186,0.9556851042780892,0.5875334383997699,0.0020303739417144584
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,home_cell_load,900,45.6080921854651,44.72932998097717,-0.8787622044879271,0.5875334383997699,0.035267513357975844
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,policy,900,45.6080921854651,45.5585051946239,-0.049586990841199,0.5875334383997699,-0.0002850497750263026
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,routing_result,900,45.6080921854651,45.61231019041293,0.004218004947830423,0.5875334383997699,-0.0018534324529235757
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,compute_prefill_ms,kv_movement,900,45.6080921854651,45.31387250488747,-0.29421968057762626,0.5875334383997699,0.004418540351731615
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,request_demand,900,12282.235272290542,12354.996054086103,72.76078179556134,0.047693538112956735,0.04839992747220301
