request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
37,651,8,4,17.884956798,4,0,406.323207,22106.243276,388.678568,17.644639,4,0,406.323207,20393.50451,388.678568,17.644639,4,0,406.323207,20393.50451,388.678568,17.644639,0.0,0.0,0.0,0.0,neither
38,573,19,9,17.92050077,9,0,382.325133,13949.858272,374.198259,8.126874,9,0,382.325133,13949.858272,374.198259,8.126874,9,0,382.325133,13949.858272,374.198259,8.126874,0.0,0.0,0.0,0.0,neither
39,599,16,8,17.928433096,8,0,361.626437,11487.737044,361.609295,0.017142,8,0,361.626437,11487.737044,361.609295,0.017142,8,0,361.626437,11487.737044,361.609295,0.017142,0.0,0.0,0.0,0.0,neither
40,543,3,1,19.325242518,1,0,381.873465,11654.232446,378.101542,3.771923,1,0,381.873465,11654.232446,378.101542,3.771923,1,0,381.873465,11654.232446,378.101542,3.771923,0.0,0.0,0.0,0.0,neither
41,550,9,4,20.179235854,4,0,408.192973,18868.815582,392.772414,15.420559,4,0,408.192973,17698.232219,392.772414,15.420559,4,0,408.192973,17698.232219,392.772414,15.420559,0.0,0.0,0.0,0.0,neither
42,527,9,4,20.706790852,4,0,397.055346,16896.672715,395.993566,1.06178,4,0,397.055346,16749.863165,395.993566,1.06178,4,0,397.055346,16749.863165,395.993566,1.06178,0.0,0.0,0.0,0.0,neither
43,698,4,2,20.919398202,2,0,376.587368,14847.808455,374.770163,1.817205,2,0,376.587368,14847.808455,374.770163,1.817205,2,0,376.587368,14847.808455,374.770163,1.817205,0.0,0.0,0.0,0.0,neither
44,520,9,4,21.224882114,4,0,401.887073,16378.581453,398.819451,3.067622,4,0,401.887073,16231.771903,398.819451,3.067622,4,0,401.887073,16231.771903,398.819451,3.067622,0.0,0.0,0.0,0.0,neither
45,512,11,5,21.559932378,5,0,361.64452,10122.020964,361.609295,0.035225,5,0,361.64452,13358.488422,361.609295,0.035225,5,0,361.64452,12295.390474,361.609295,0.035225,0.0,0.0,0.0,-1063.0979480000005,neither
46,767,13,6,22.826896832,6,0,387.668844,16673.723348,378.266374,9.40247,6,0,387.668844,16673.723348,378.266374,9.40247,6,0,387.668844,16673.723348,378.266374,9.40247,0.0,0.0,0.0,0.0,neither
47,591,9,4,22.838473254,4,0,402.637288,19862.279386,398.750491,3.886797,4,0,402.637288,17370.390894,398.750491,3.886797,4,0,402.637288,17370.390894,398.750491,3.886797,0.0,0.0,0.0,0.0,neither
48,767,18,9,23.23508285,9,0,392.875855,19524.613624,377.937446,14.938409,9,0,392.875855,19524.613624,377.937446,14.938409,9,0,392.875855,19524.613624,377.937446,14.938409,0.0,0.0,0.0,0.0,neither
49,579,8,4,23.831487006,4,0,415.039541,19192.638564,406.162779,8.876762,4,0,415.039541,17000.8266,406.162779,8.876762,4,0,415.039541,17000.8266,406.162779,8.876762,0.0,0.0,0.0,0.0,neither
50,768,1,0,24.071161966,0,0,361.625478,14890.913983,361.609295,0.016183,0,0,361.625478,14890.913983,361.609295,0.016183,0,0,361.625478,14890.913983,361.609295,0.016183,0.0,0.0,0.0,0.0,neither
51,769,8,4,24.290658106,4,0,418.527071,24638.383044,408.308518,10.218553,4,0,418.527071,20471.370392,408.308518,10.218553,4,0,418.527071,20471.370392,408.308518,10.218553,0.0,0.0,0.0,0.0,neither
52,513,18,9,24.514819882,9,0,384.165984,13286.660341,381.501041,2.664943,9,0,384.165984,13286.660341,381.501041,2.664943,9,0,384.165984,13286.660341,381.501041,2.664943,0.0,0.0,0.0,0.0,neither
53,577,4,2,24.640272338,2,0,376.743679,12421.810639,374.205491,2.538188,2,0,376.743679,12421.810639,374.205491,2.538188,2,0,376.743679,12421.810639,374.205491,2.538188,0.0,0.0,0.0,0.0,neither
54,767,17,8,24.685701542,8,0,387.133658,16319.452487,374.535411,12.598247,8,0,387.133658,16319.452487,374.535411,12.598247,8,0,387.133658,16319.452487,374.535411,12.598247,0.0,0.0,0.0,0.0,neither
55,768,10,5,25.154482988,5,0,378.537637,16084.035259,374.210931,4.326706,5,0,378.537637,22321.52864,374.210931,4.326706,5,0,378.537637,19690.643377,374.210931,4.326706,0.0,0.0,0.0,-2630.885263,neither
56,539,7,3,25.879917052,3,0,384.430851,11847.88979,374.900179,9.530672,3,0,384.430851,11847.88979,374.900179,9.530672,3,0,384.430851,11847.88979,374.900179,9.530672,0.0,0.0,0.0,0.0,neither
57,593,18,9,26.165875424,9,0,399.952514,14834.383404,384.167729,15.784785,9,0,399.952514,14834.383404,384.167729,15.784785,9,0,399.952514,14834.383404,384.167729,15.784785,0.0,0.0,0.0,0.0,neither
58,518,12,6,26.478758406,6,0,376.366547,11439.625018,374.180115,2.186432,6,0,376.366547,11439.625018,374.180115,2.186432,6,0,376.366547,11439.625018,374.180115,2.186432,0.0,0.0,0.0,0.0,neither
59,523,2,1,26.711934624,1,0,380.926873,12364.574379,378.30007,2.626803,1,0,380.926873,12364.574379,378.30007,2.626803,1,0,380.926873,12364.574379,378.30007,2.626803,0.0,0.0,0.0,0.0,neither
60,574,2,1,27.18551251,1,0,390.423818,13111.399003,381.742961,8.680857,1,0,390.423818,13111.399003,381.742961,8.680857,1,0,390.423818,13111.399003,381.742961,8.680857,0.0,0.0,0.0,0.0,neither
61,730,7,3,28.134246238,3,0,395.233748,16067.03778,378.01399,17.219758,3,0,395.233748,16067.03778,378.01399,17.219758,3,0,395.233748,16067.03778,378.01399,17.219758,0.0,0.0,0.0,0.0,neither
62,611,19,9,28.173180232,9,0,407.232189,15176.816678,388.997192,18.234997,9,0,407.232189,15176.816678,388.997192,18.234997,9,0,407.232189,15176.816678,388.997192,18.234997,0.0,0.0,0.0,0.0,neither
63,769,15,7,28.235591876,7,0,361.611481,18531.345109,361.609295,0.002186,7,0,361.611481,18531.345109,361.609295,0.002186,7,0,361.611481,18531.345109,361.609295,0.002186,0.0,0.0,0.0,0.0,neither
64,667,9,4,28.758228812,4,0,3580.157854,24659.249914,417.402179,3162.755675,5,1,721.575392,20984.948716,713.593606,7.362393,5,1,709.502911,19417.044804,377.814758,14.353592182248473,-2858.5824620000003,-2870.654943,-12.072480999999925,-1567.903911999998,both
65,666,1,0,28.96346793,0,0,387.231115,12808.554777,374.345779,12.885336,0,0,387.231115,12808.554777,374.345779,12.885336,0,0,387.231115,12808.554777,374.345779,12.885336,0.0,0.0,0.0,0.0,neither
66,598,12,6,29.045879868,6,0,391.769519,13099.023306,377.670374,14.099145,6,0,391.769519,13099.023306,377.670374,14.099145,6,0,391.769519,13099.023306,377.670374,14.099145,0.0,0.0,0.0,0.0,neither
67,713,8,4,29.184291744,4,0,9009.617326,31771.011202,563.967801,8445.649525,5,1,1018.825883,22239.981045,977.195199,41.011291,5,1,705.102824,20617.743829,381.284977,6.483286182248473,-7990.791443,-8304.514502,-313.7230589999999,-1622.2372160000014,both
68,573,17,8,29.658701564,8,0,375.645415,12358.189917,374.311763,1.333652,8,0,375.645415,12358.189917,374.311763,1.333652,8,0,375.645415,12358.189917,374.311763,1.333652,0.0,0.0,0.0,0.0,neither
69,742,7,3,29.716140572,3,0,388.479305,16352.857655,381.610065,6.86924,3,0,388.479305,16352.857655,381.610065,6.86924,3,0,388.479305,16352.857655,381.610065,6.86924,0.0,0.0,0.0,0.0,neither
70,776,9,4,29.741504294,4,0,8723.351749,33399.165964,574.716406,8148.635343,5,1,1149.046759,23791.838838,944.748353,203.679013,5,1,720.508286,22338.693472,383.827473,19.346252182248474,-7574.30499,-8002.843462999999,-428.53847300000007,-1453.1453660000006,both
71,693,4,2,30.056460852,2,0,381.158634,16585.394953,377.949894,3.20874,2,0,381.158634,16585.394953,377.949894,3.20874,2,0,381.158634,16585.394953,377.949894,3.20874,0.0,0.0,0.0,0.0,neither
72,546,19,9,30.952908266,9,0,396.012737,13186.319886,393.15347,2.859267,9,0,396.012737,13186.319886,393.15347,2.859267,9,0,396.012737,13186.319886,393.15347,2.859267,0.0,0.0,0.0,0.0,neither
73,626,15,7,31.569141976,7,0,378.279514,15873.814193,374.183763,4.095751,7,0,378.279514,15873.814193,374.183763,4.095751,7,0,378.279514,15873.814193,374.183763,4.095751,0.0,0.0,0.0,0.0,neither
74,597,15,7,31.999570646,7,0,382.294223,14907.470283,377.465574,4.828649,7,0,382.294223,14907.470283,377.465574,4.828649,7,0,382.294223,14907.470283,377.465574,4.828649,0.0,0.0,0.0,0.0,neither
75,768,10,5,32.300215864,5,0,383.718801,17657.673085,374.519571,9.19923,5,0,398.837662,22755.96992,388.588328,10.249334,5,0,393.328046,22513.3639,388.700264,4.627782,15.118861000000038,9.609244999999987,-5.509616000000051,-242.60601999999926,neither
76,769,10,5,32.575742042,5,0,485.828725,17448.928644,377.636102,108.192623,5,0,515.672538,22555.331772,392.361054,123.311484,5,0,510.271754,22316.39438,392.469886,117.801868,29.84381300000001,24.443028999999967,-5.400784000000044,-238.93739199999982,neither
