pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0025,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0001,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0232,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0384,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.045,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0427,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0521,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.0316,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0841,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0831,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0863,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0845,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0696,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0836,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0007,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.002,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0001,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.0005,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,-0.0008,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.001,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.2804,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.3188,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.3035,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.3196,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.3193,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.2759,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.0545,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.0572,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.0503,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0549,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0341,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0597,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1129,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.0954,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0895,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1255,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0719,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1393,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0678,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0822,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0715,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1376,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0697,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.1635,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1109,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.0817,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0027,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1095,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.0055,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.1373,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.1085,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.0946,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.0851,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.1168,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0635,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.1234,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0826,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0842,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.1019,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1394,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.0825,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.1673,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.0893,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.0738,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.0054,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.0974,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.016,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1361,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.141,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.1205,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.0818,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.1634,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.0776,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.1805,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0439,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0676,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.0764,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.1098,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.0096,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.161,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.0544,2
