prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,2048,1,1024,19.6267
16,2048,1,2048,20.16
16,2048,1,4096,22.624
16,2048,1,8192,27.6693
16,2048,1,16384,37.483
16,2048,2,16,18.5813
16,2048,2,32,18.7627
16,2048,2,64,18.7413
16,2048,2,128,18.8907
16,2048,2,256,19.3387
16,2048,2,512,19.6693
16,2048,2,1024,20.8107
16,2048,2,2048,22.5387
16,2048,2,4096,27.3067
16,2048,2,8192,35.7977
16,2048,2,16384,54.3787
16,2048,4,16,19.0507
16,2048,4,32,19.232
16,2048,4,64,19.1253
16,2048,4,128,19.744
16,2048,4,256,23.9787
16,2048,4,512,21.088
16,2048,4,1024,24.7363
16,2048,4,2048,27.6587
16,2048,4,4096,44.4803
16,2048,4,8192,69.216
16,2048,4,16384,109.963
16,2048,8,16,21.6747
16,2048,8,32,22.0693
16,2048,8,64,22.56
16,2048,8,128,20.3627
16,2048,8,256,21.2373
16,2048,8,512,25.9307
16,2048,8,1024,33.248
16,2048,8,2048,47.7333
16,2048,8,4096,72.907
16,2048,8,8192,110.72
16,2048,8,16384,177.952
16,2048,16,16,22.3893
16,2048,16,32,22.2717
16,2048,16,64,22.816
16,2048,16,128,24.7683
16,2048,16,256,28.3307
16,2048,16,512,35.3173
16,2048,16,1024,49.227
16,2048,16,2048,74.0483
16,2048,16,4096,110.891
16,2048,16,8192,177.568
16,2048,16,16384,307.404
16,2048,32,16,26.0907
16,2048,32,32,27.008
16,2048,32,64,27.4453
16,2048,32,128,31.3387
16,2048,32,256,37.184
16,2048,32,512,47.7227
16,2048,32,1024,66.0373
16,2048,32,2048,93.611
16,2048,32,4096,164.192
16,2048,32,8192,304.502
16,2048,32,16384,585.047
16,2048,64,16,32.5123
16,2048,64,32,33.1093
16,2048,64,64,33.6643
16,2048,64,128,41.1737
16,2048,64,256,52.0213
16,2048,64,512,68.416
16,2048,64,1024,100.236
16,2048,64,2048,167.787
16,2048,64,4096,304.566
16,2048,64,8192,581.537
16,2048,64,16384,1142.52
16,2048,128,16,44.8857
16,2048,128,32,45.4937
16,2048,128,64,46.7733
16,2048,128,128,60.5653
16,2048,128,256,75.8827
16,2048,128,512,109.942
16,2048,128,1024,179.169
16,2048,128,2048,314.859
16,2048,128,4096,585.025
16,2048,128,8192,1134.76
16,2048,128,16384,2247.64
16,4096,0,0,22.2617
16,4096,1,16,21.8453
16,4096,1,32,21.8453
16,4096,1,64,22.0913
16,4096,1,128,22.2507
16,4096,1,256,22.2293
16,4096,1,512,22.3577
16,4096,1,1024,22.667
16,4096,1,2048,23.1363
16,4096,1,4096,25.4613
16,4096,1,8192,29.792
16,4096,1,16384,39.7017
16,4096,2,16,21.92
16,4096,2,32,21.4613
16,4096,2,64,22.1223
16,4096,2,128,21.984
16,4096,2,256,22.464
16,4096,2,512,22.6347
16,4096,2,1024,22.912
16,4096,2,2048,25.3227
16,4096,2,4096,29.8027
16,4096,2,8192,38.966
16,4096,2,16384,56.608
16,4096,4,16,22.3467
16,4096,4,32,22.2723
16,4096,4,64,22.5177
16,4096,4,128,22.923
16,4096,4,256,24.171
16,4096,4,512,25.557
16,4096,4,1024,25.5147
16,4096,4,2048,37.6107
16,4096,4,4096,38.9973
16,4096,4,8192,70.1657
16,4096,4,16384,123.52
16,4096,8,16,23.424
16,4096,8,32,23.8187
16,4096,8,64,24.107
16,4096,8,128,23.4137
16,4096,8,256,25.4933
16,4096,8,512,26.2827
16,4096,8,1024,34.2507
16,4096,8,2048,47.36
16,4096,8,4096,72.5763
16,4096,8,8192,124.214
16,4096,8,16384,196.865
16,4096,16,16,23.8187
16,4096,16,32,23.5417
16,4096,16,64,24.1067
16,4096,16,128,26.3573
16,4096,16,256,28.9707
16,4096,16,512,36.2347
16,4096,16,1024,49.7387
16,4096,16,2048,74.5813
16,4096,16,4096,126.454
16,4096,16,8192,196.075
16,4096,16,16384,328.705
16,4096,32,16,28.2347
16,4096,32,32,28.3307
16,4096,32,64,28.6403
16,4096,32,128,33.0027
16,4096,32,256,38.5073
16,4096,32,512,49.024
16,4096,32,1024,69.654
16,4096,32,2048,111.083
16,4096,32,4096,166.016
16,4096,32,8192,304.321
16,4096,32,16384,586.199
16,4096,64,16,33.376
16,4096,64,32,34.1867
16,4096,64,64,34.6667
16,4096,64,128,42.6777
16,4096,64,256,52.064
16,4096,64,512,71.435
16,4096,64,1024,111.232
16,4096,64,2048,170.155
16,4096,64,4096,308.001
16,4096,64,8192,582.626
16,4096,64,16384,1142.58
16,4096,128,16,46.592
16,4096,128,32,46.9337
16,4096,128,64,49.0773
16,4096,128,128,62.347
16,4096,128,256,78.208
16,4096,128,512,116.939
16,4096,128,1024,181.206
16,4096,128,2048,316.513
16,4096,128,4096,588.706
16,4096,128,8192,1138.15
16,4096,128,16384,2247.95
16,8192,0,0,25.6323
16,8192,1,16,26.208
16,8192,1,32,25.7927
16,8192,1,64,25.856
16,8192,1,128,25.9947
16,8192,1,256,26.3253
16,8192,1,512,26.5067
16,8192,1,1024,27.3707
16,8192,1,2048,28.2027
16,8192,1,4096,30.6347
16,8192,1,8192,35.1467
16,8192,1,16384,43.5093
16,8192,2,16,26.3893
16,8192,2,32,26.1553
16,8192,2,64,26.4427
16,8192,2,128,26.496
16,8192,2,256,26.8907
16,8192,2,512,27.2853
16,8192,2,1024,29.4937
16,8192,2,2048,31.4027
16,8192,2,4096,35.3493
16,8192,2,8192,43.947
16,8192,2,16384,61.8883
16,8192,4,16,26.3787
16,8192,4,32,26.5813
16,8192,4,64,26.7307
16,8192,4,128,27.968
16,8192,4,256,27.6807
16,8192,4,512,28.9173
16,8192,4,1024,33.8667
16,8192,4,2048,35.968
16,8192,4,4096,55.5733
16,8192,4,8192,62.176
16,8192,4,16384,124.236
16,8192,8,16,29.0773
16,8192,8,32,29.5363
16,8192,8,64,29.4297
16,8192,8,128,28.3947
16,8192,8,256,32.235
16,8192,8,512,34.8377
16,8192,8,1024,35.9363
16,8192,8,2048,49.216
16,8192,8,4096,73.344
16,8192,8,8192,125.953
16,8192,8,16384,228.075
16,8192,16,16,29.3013
16,8192,16,32,30.2937
16,8192,16,64,30.0267
16,8192,16,128,33.8563
16,8192,16,256,31.7443
16,8192,16,512,38.1547
16,8192,16,1024,50.827
