pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.2123,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.2621,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.0714,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.3713,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.0028,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0279,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,0.06,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0035,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0223,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0165,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.0389,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,-0.0236,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,-0.1047,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.0768,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.0774,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1055,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,-0.0409,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,-0.0219,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0004,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,-0.0428,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0945,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.3841,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,-0.0715,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0642,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,-0.0683,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,-0.0164,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.046,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.1368,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,-0.0071,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,-0.0815,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,-0.2064,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.0183,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,-0.2019,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.0485,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,-0.1919,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.0989,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.0978,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,-0.0875,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.1167,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.3685,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,-0.2255,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,-0.2314,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.192,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,-0.1504,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.109,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.0552,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,-0.0383,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,-0.1411,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,-0.2851,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0238,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,-0.2853,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.0298,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.3667,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.3575,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.3666,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.6403,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.0948,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.3123,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.3017,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.324,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.2347,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.2716,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.2788,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.0849,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,-0.0281,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,-0.3124,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,-0.8842,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.0151,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,-1.0397,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.0304,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,-1.3227,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,-1.0171,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.1058,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,-1.7573,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.9681,4
16,n<=16,sr>70%,kvB<=1k,kp=0,-0.0299,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,-1.2128,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,-1.727,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,-0.8954,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,-0.4972,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-1.0457,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.2114,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.0238,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,-0.0101,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,-4.4708,1
16,n<=2,sr<=70%,kvB<=16k,kp<=512,-0.0036,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,-7.6519,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,-0.089,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.5215,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.7674,1
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-1.7407,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.0598,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.0291,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.487,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0649,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.432,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.4846,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0082,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.0738,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.0664,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0134,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0117,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0038,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0132,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,-0.0585,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0173,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,-0.0644,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,-0.0115,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,-0.0112,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1252,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0367,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.2548,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0317,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,-0.0387,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,-0.09,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0397,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,-0.0388,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0299,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0095,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0096,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0011,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0113,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,-0.0471,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0137,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,-0.1702,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,-0.0852,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,-0.057,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.061,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.071,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.2441,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,-0.0129,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,-0.0097,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.1505,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,-0.0072,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0939,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.0009,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0585,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.056,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0406,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0612,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,-0.026,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.0638,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.002,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,-0.0218,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,-0.0156,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.1237,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0221,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.2672,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0856,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0092,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,-0.0206,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0905,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,-0.0159,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0663,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,-0.0214,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,-0.0193,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.0136,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,-0.026,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1383,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0114,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.1738,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,-0.0757,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,-0.0565,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.2298,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,-0.1152,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.1482,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.0226,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.1605,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.1489,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,-0.0173,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.0289,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0205,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.046,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.0406,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.0485,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.0412,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.023,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.0676,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,-0.0854,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,-0.6409,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,-0.542,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.2141,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.3624,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.4054,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.097,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.0073,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,-0.4695,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.0814,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,-0.8723,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.0494,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,-0.1778,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,-0.2747,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,-0.1019,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,-0.0953,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.2069,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.147,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,-0.0271,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.0456,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.0904,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.0945,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,-0.0504,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.5078,4
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.0223,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,-0.0344,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.1143,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,-0.0066,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,-0.0035,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.0244,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,-0.1881,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,-0.4009,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,-0.0551,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,-0.2049,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,-0.2071,1
16,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0302,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.1071,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.0582,1
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.6364,1
