test_scenario,group,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,kv_movement,0.0009360994938907019,-2.160344391061164e-05,-0.1963865561951934
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,router_initial_state,0.01992063999554014,0.25039339471122846,924.2656785337704
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,router_decision_state,0.0024069918713665595,1.1222234356200476,1843.9852997018083
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,scheduler_state,-0.0016322150217774611,0.004019870677612114,22.277946604383033
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,request_demand,0.0014209695524353971,-0.002764864980953685,-10.284375219719095
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,nominal_reuse,7.195210965537865e-05,0.0,0.3127528063837417
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,realized_reuse,0.0005568902852140928,0.0011900862737406204,1.3854267840797547
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,offered_load,-0.00037639657227610257,0.023999403962790877,31.053598357860324
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,home_cell_load,0.0011581319287194934,-0.0037974812880539055,-10.804457261395783
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,policy,0.0004824323713784294,0.0044043339769110346,-7.765945165059975
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,routing_result,0.0048952599871139105,0.042498258506479536,0.5690077649541081
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,kv_movement,-0.00031691977249821354,0.0,-0.6945998175950763
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,router_initial_state,0.08800162520167307,-0.017086492711642753,22.98706553129375
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,router_decision_state,0.0005606084321072985,0.8723780760310429,509.1181194807689
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,scheduler_state,-0.00016598748889794235,-0.004641048119421287,-25.27227013806305
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,request_demand,0.004002425468001763,-0.005375667019573649,11.800983078004805
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,nominal_reuse,0.00044635313380238933,0.0,0.11335810272140634
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,realized_reuse,0.00022457490224075602,0.0,0.2585116091645716
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,offered_load,4.593263194161215e-05,0.009446505261320626,7.937540106824457
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,home_cell_load,0.000567273553482156,-0.0066640272652550014,-6.191867344026178
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,policy,0.0009836729979544462,0.011034865695269402,-2.5598570297414938
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,routing_result,0.00012263088247304113,0.11594756770657005,26.88717748216004
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,kv_movement,-9.701812698020493e-05,0.0,-0.33183365619541405
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,router_initial_state,0.07429586921742454,0.006038351152006904,66.43396440508792
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,router_decision_state,0.0006252831263014631,0.9153704539142,291.0450156156933
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,scheduler_state,-0.00017765062838370066,-0.001148306733809723,-0.5222791192058764
