test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_min_available_kv_bytes,0.0006329062830954073,-0.0343445230100729,-0.5236384878272418
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_max_available_kv_bytes,0.0005185885147867067,-0.022270115186855843,-0.33268000891158067
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_min_capacity_pressure,0.0001625667536960182,-0.031586233327591307,-2.0872440985284584
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_max_capacity_pressure,0.0007133361266891194,-0.03778174998938366,-2.1111228666017183
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_waiting_reqs,-0.00040131398987188274,-0.009888626251033261,-0.13220526218363204
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_running_reqs,0.0004696022712158028,0.0,-0.03506064851364954
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_available_kv_bytes,-8.84000367423754e-06,-0.03382784809440692,-0.023561915502639863
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_projected_active_kv_bytes,-8.84000367423754e-06,-4.3219671899685785e-05,-0.03150177517322561
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_capacity_pressure,1.9366088786616775e-05,-0.019952064073935405,-4.231703127419976
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_decision_slot_pressure,0.00046960227125144097,0.0,-0.03506064851603696
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_capacity_retry_count,0.0027204963905631437,0.7751862948130144,265.25296341040956
