condition,method,method_label,subset,request_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
input2000_reuse025,NEAREST_KV,Nearest KV,Not redirected only,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_MIGRATE,Migrate,Not redirected only,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse05,NEAREST_KV,Nearest KV,All requests,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_MIGRATE,Migrate,All requests,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_KV,Nearest KV,Not redirected only,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_MIGRATE,Migrate,Not redirected only,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input2000_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,123.7234815,132.2295631,134.83243305,175.47073465,188.479458
input4000_rate2p5_reuse00,NEAREST_KV,Nearest KV,All requests,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input4000_rate2p5_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input4000_rate2p5_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input4000_rate2p5_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input4000_rate2p5_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input4000_rate2p5_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,469.2235525,603.8631298000001,740.09393675,1138.5621256999991,1483.857478
input6000_rate3p33_reuse00,NEAREST_KV,Nearest KV,All requests,300,753.692222,5678.602993600003,19291.81324995,26126.038854279992,28388.256493
input6000_rate3p33_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,754.9200025,1734.4953185000004,2354.5220587500075,11455.457803379992,14068.007141
input6000_rate3p33_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,754.9200025,1734.4953185000004,2354.5220587500075,11455.457803379992,14068.007141
input6000_rate3p33_reuse00,NEAREST_MIGRATE,Migrate,Redirected only,36,1338.5108905000002,10520.6765495,12456.140228,13588.109447899998,14068.007141
input6000_rate3p33_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,36,1338.5108905000002,10520.6765495,12456.140228,13588.109447899998,14068.007141
input6000_rate3p33_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,753.692222,5678.602993600003,19291.81324995,26126.038854279992,28388.256493
input6000_rate3p33_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,264,752.380189,1343.4488394,1912.9662471499996,6068.196137780013,10850.477206
input6000_rate3p33_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,264,752.380189,1343.4488394,1912.9662471499996,6068.196137780013,10850.477206
input6000_rate3p33_reuse50,NEAREST_KV,Nearest KV,All requests,300,409.031602,1002.7861611000052,11144.505913500006,15615.40677212,16106.044021
input6000_rate3p33_reuse50,NEAREST_MIGRATE,Migrate,All requests,300,410.652491,767.695993,963.0980629500001,3845.82645255998,10558.616409
input6000_rate3p33_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,410.33979,719.1279105000001,853.9001962000002,6819.267804939998,8764.959976
input6000_rate3p33_reuse50,NEAREST_MIGRATE,Migrate,Redirected only,19,786.929726,4046.938673999998,6560.26248869999,9758.945624940001,10558.616409
input6000_rate3p33_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,15,873.151247,6776.904573999998,8279.394126,8667.846806,8764.959976
input6000_rate3p33_reuse50,NEAREST_KV,Nearest KV,Not redirected only,300,409.031602,1002.7861611000052,11144.505913500006,15615.40677212,16106.044021
input6000_rate3p33_reuse50,NEAREST_MIGRATE,Migrate,Not redirected only,281,408.861968,602.087406,782.863556,2940.931123599998,6005.142436
input6000_rate3p33_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,285,408.940674,579.2808258,766.3017426,4338.247953280005,7035.283621
input8000_rate2p5_reuse00,NEAREST_KV,Nearest KV,All requests,300,1047.2298025,9338.0220124,19449.08092650001,39532.20522889,41108.561704
input8000_rate2p5_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,1044.8528620000002,5781.519212900004,10359.050005500003,13883.918165399995,15867.310288
input8000_rate2p5_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,1044.8528620000002,5781.519212900004,10359.050005500003,13883.918165399995,15867.310288
input8000_rate2p5_reuse00,NEAREST_MIGRATE,Migrate,Redirected only,57,2209.943654,12799.8916854,14012.493129999997,15739.75387832,15867.310288
input8000_rate2p5_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,57,2209.943654,12799.8916854,14012.493129999997,15739.75387832,15867.310288
input8000_rate2p5_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,1047.2298025,9338.0220124,19449.08092650001,39532.20522889,41108.561704
input8000_rate2p5_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,243,1036.020034,2274.8798170000027,4864.433282599994,7059.690647119997,11402.578879
input8000_rate2p5_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,243,1036.020034,2274.8798170000027,4864.433282599994,7059.690647119997,11402.578879
input8000_rate2p5_reuse50,NEAREST_KV,Nearest KV,All requests,300,553.790366,3446.564884300005,10767.018580500011,24234.25283780999,25827.944019
input8000_rate2p5_reuse50,NEAREST_MIGRATE,Migrate,All requests,300,554.4319415,1243.3077507000005,3045.5570100000014,10161.013647129996,14117.890343
input8000_rate2p5_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,554.1106195,998.8511457000001,1514.8989029000006,9683.848395119978,13390.245412
input8000_rate2p5_reuse50,NEAREST_MIGRATE,Migrate,Redirected only,30,1118.149931,10196.8591903,12405.722826149991,14060.41316428,14117.890343
input8000_rate2p5_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,29,996.819482,10152.253212399997,12579.111474599998,13247.99170068,13390.245412
input8000_rate2p5_reuse50,NEAREST_KV,Nearest KV,Not redirected only,300,553.790366,3446.564884300005,10767.018580500011,24234.25283780999,25827.944019
input8000_rate2p5_reuse50,NEAREST_MIGRATE,Migrate,Not redirected only,270,552.4570855,955.3903569,1589.1003601499988,4965.643937630001,6285.50949
input8000_rate2p5_reuse50,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,271,551.580141,921.916337,1069.809313,1675.8653108000005,2877.546435
input10000_reuse00,NEAREST_KV,Nearest KV,All requests,300,11786.46593,48200.618006100034,89486.30290115,104735.45400554,110689.910644
input10000_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,12277.303748,43719.23829060002,65266.524625200014,94740.23821726999,102981.95977
input10000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,12277.303748,43719.23829060002,65266.524625200014,94740.23821726999,102981.95977
input10000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,14819.170239,29632.369897600005,30956.84527615,31590.323134899998,31857.081151
input10000_reuse00,NEAREST_MIGRATE,Migrate,Redirected only,93,27344.655439,76784.9490136,91476.16778139998,100104.42776532,102981.95977
input10000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,93,27344.655439,76784.9490136,91476.16778139998,100104.42776532,102981.95977
input10000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Redirected only,231,18033.160611,30277.433178,30966.377644,31624.950571,31857.081151
input10000_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,11786.46593,48200.618006100034,89486.30290115,104735.45400554,110689.910644
input10000_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,207,7879.415087,25294.091832,27111.291569999994,36427.18527774,44603.696079
input10000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,207,7879.415087,25294.091832,27111.291569999994,36427.18527774,44603.696079
input10000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,69,1341.583458,24446.009910800007,28527.62756159998,31162.176998119998,31404.339697
input10000_reuse025,NEAREST_KV,Nearest KV,All requests,300,8954.91569,40953.19466870001,80167.95176645,92295.54693992,98405.800636
input10000_reuse025,NEAREST_MIGRATE,Migrate,All requests,300,9714.3984185,37423.922479700006,62731.90924010001,89982.62712821999,94238.323904
input10000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,8737.484559,41788.825351000014,69800.3927959,107709.32273265999,108520.056124
input10000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,12177.549014,24495.966842,25330.4955212,25983.555436119997,27083.532047
input10000_reuse025,NEAREST_MIGRATE,Migrate,Redirected only,95,24142.169178,71635.5130908,80250.5059499,92566.16758318,94238.323904
input10000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,99,24606.290886,84161.95229040002,98376.69796169997,108340.64161362,108520.056124
input10000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Redirected only,219,15835.144576,24897.6655984,25456.1493972,26160.318748839996,27083.532047
input10000_reuse025,NEAREST_KV,Nearest KV,Not redirected only,300,8954.91569,40953.19466870001,80167.95176645,92295.54693992,98405.800636
input10000_reuse025,NEAREST_MIGRATE,Migrate,Not redirected only,205,5935.728152,21856.8604814,23892.931630999996,30853.01819344001,36026.872267
input10000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,201,4221.867936,16884.981762,19240.282975,33917.006675,36477.944524
input10000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,81,1127.244024,20126.360299,23276.665059,25412.2913324,25742.305354
input10000_reuse05,NEAREST_KV,Nearest KV,All requests,300,6106.4565695,36324.378460400054,71145.5095039,81904.41043967998,84917.961827
input10000_reuse05,NEAREST_MIGRATE,Migrate,All requests,300,7421.7391025,32212.77385670005,51970.74813375002,73593.02611975996,83543.556438
input10000_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,5761.252689999999,29505.315553800003,40670.77768340002,50475.98386751999,60210.233202
input10000_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,8832.604901499999,17591.2746253,18486.904394800004,19329.75269867,19770.968614
input10000_reuse05,NEAREST_MIGRATE,Migrate,Redirected only,86,19171.349069,62149.691005,70264.24616899999,81944.84781935,83543.556438
input10000_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,91,15516.411511,44893.900521,50029.428505,57573.14962439998,60210.233202
input10000_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Redirected only,211,11372.935834,18072.645956,18885.5447485,19503.6579573,19770.968614
input10000_reuse05,NEAREST_KV,Nearest KV,Not redirected only,300,6106.4565695,36324.378460400054,71145.5095039,81904.41043967998,84917.961827
input10000_reuse05,NEAREST_MIGRATE,Migrate,Not redirected only,214,4081.025525,18881.6416842,21965.681190599997,31993.905035300002,35633.551949
input10000_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,209,3397.129592,18588.94723960001,23557.643349199996,28076.352778959998,30088.132273
input10000_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,89,744.294249,12324.9100376,14630.8846874,16245.417439280012,18865.100918
input10000_reuse05_180s,NEAREST_KV,Nearest KV,All requests,300,725.744324,11668.173863900003,18954.062672550004,25183.17262452995,33395.518623
input10000_reuse05_180s,NEAREST_MIGRATE,Migrate,All requests,300,726.193299,1350.8445116999999,1907.8696057000002,4711.75230307998,8204.572349
input10000_reuse05_180s,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,725.269544,1248.9862440000002,1394.8246128500007,2639.3098458499876,4975.987426
input10000_reuse05_180s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE_M200MS_D1S_PHASE1_MODEL20260720,Multi (learned model),All requests,300,724.7661350000001,1217.0414683000001,1244.3050676,1440.8832051799989,1733.958597
input10000_reuse05_180s,NEAREST_MIGRATE,Migrate,Redirected only,33,1362.471232,4341.280948400001,7102.547614199999,7970.99860084,8204.572349
input10000_reuse05_180s,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,28,1272.3015475,2154.6397587000006,3771.5680660999974,4817.38965442,4975.987426
input10000_reuse05_180s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE_M200MS_D1S_PHASE1_MODEL20260720,Multi (learned model),Redirected only,24,1234.6271555,1380.9797431,1438.5610318499998,1666.30997235,1733.958597
input10000_reuse05_180s,NEAREST_KV,Nearest KV,Not redirected only,300,725.744324,11668.173863900003,18954.062672550004,25183.17262452995,33395.518623
input10000_reuse05_180s,NEAREST_MIGRATE,Migrate,Not redirected only,267,722.496826,977.9762528000002,1267.7574326999998,1922.1816064999996,3989.307187
input10000_reuse05_180s,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,272,721.703237,931.5787402000001,1212.3188646999997,1612.6012225000006,3989.318183
input10000_reuse05_180s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE_M200MS_D1S_PHASE1_MODEL20260720,Multi (learned model),Not redirected only,276,723.20373,924.3340714999999,1185.59347825,1377.02263525,1613.21622
