level,target_rps,remote_window,remote_requests,remote_attempts_total,remote_failures_after_retry,local_requests,local_arm,remote_ttft_mean_ms,remote_ttft_p50_ms,remote_ttft_p95_ms,remote_ttft_p99_ms,remote_tpot_mean_ms,remote_tpot_p50_ms,remote_tpot_p95_ms,remote_tpot_p99_ms,local_ttft_mean_ms,local_ttft_p50_ms,local_ttft_p95_ms,local_ttft_p99_ms,local_tpot_mean_ms,local_tpot_p50_ms,local_tpot_p95_ms,local_tpot_p99_ms,delta_ttft_mean_ms_pct,delta_ttft_p50_ms_pct,delta_ttft_p95_ms_pct,delta_ttft_p99_ms_pct,delta_tpot_mean_ms_pct,delta_tpot_p50_ms_pct,delta_tpot_p95_ms_pct,delta_tpot_p99_ms_pct
4,36,first_300,299,601,1,300,4_redirect_kv_pp2,264.5533259531772,233.29675,543.4260006000001,691.5134416799993,16.67606407224144,16.892332379084966,23.675364465876903,32.67150449923904,510.4409015100003,506.770734,881.8782398500001,1055.1074423799998,60.50235705999997,43.479837,191.25224400000005,279.59214303999994,-48.17160514163965,-53.96404441934486,-38.3785679197128,-34.460376838954296,-72.43733156428294,-61.14904391411364,-87.62086971074865,-88.31458418537717
4,36,second_300,300,601,1,300,4_redirect_kv_pp2,254.97892128999982,222.80775,484.2286848000002,655.5372924999996,16.598182269478794,16.02373164110355,25.305477602252488,34.29020960992093,510.4409015100003,506.770734,881.8782398500001,1055.1074423799998,60.50235705999997,43.479837,191.25224400000005,279.59214303999994,-50.04731781177524,-56.03381666471687,-45.091208409636764,-37.870091123487114,-72.5660568016905,-63.14675319251186,-86.76853297352554,-87.73563189684654
5,45,full,599,601,1,300,4_redirect_kv_pp2,305.40438452587665,286.798167,535.5351712,671.1400754999996,24.61002945725342,23.125681208053688,41.284094846063,73.11479411999998,726.2841935033337,689.3937655,1281.1073342500003,1465.81482132,63.63488943999998,42.313854,252.8067723,295.19461739,-57.94974098875596,-58.39849715031982,-58.19747831562303,-54.21385663875178,-61.32620065214742,-45.34725858804143,-83.66970375418894,-75.23166419277779
5,45,first_300,299,601,1,300,4_redirect_kv_pp2,296.2292984816055,274.286167,512.2489294000002,704.8733776799999,26.423005961828554,25.181701374207186,39.92857501853519,76.5703338070832,726.2841935033337,689.3937655,1281.1073342500003,1465.81482132,63.63488943999998,42.313854,252.8067723,295.19461739,-59.21303242843522,-60.21342508064791,-60.01514348523448,-51.91252213937603,-58.47717157308452,-40.48828222026955,-84.20589185358023,-74.06106707361761
5,45,second_300,300,601,1,300,4_redirect_kv_pp2,314.5488869500001,304.222125,573.4618372000001,657.5640915,22.8030962076936,20.002915331617647,42.80917416315281,68.00563152179996,726.2841935033337,689.3937655,1281.1073342500003,1465.81482132,63.63488943999998,42.313854,252.8067723,295.19461739,-56.69066052054232,-55.87106524246628,-55.237018642491634,-55.14002983624846,-64.16573296761337,-52.72726674432056,-83.06644486867143,-76.96244188898828
6,54,full,599,601,1,300,4_redirect_kv_pp2,332.6370249048414,290.822834,651.5510170000002,813.4437479999992,26.913365629612834,24.141823838235293,46.14882434242181,82.31132800999961,982.0493497633331,911.1756715,1776.63261065,1929.4066505,64.04057289999996,41.920612000000006,271.37454215,301.77859234999994,-66.1282780763508,-68.08268228658474,-63.326631904970874,-57.83969399145599,-57.97450832983905,-42.41061213935691,-82.99441650760541,-72.7245967419267
6,54,first_300,299,601,1,300,4_redirect_kv_pp2,306.7177706220737,279.649459,578.5574958,707.9142646799997,28.637391734985396,26.806651562118127,44.96476552516722,82.31132800999961,982.0493497633331,911.1756715,1776.63261065,1929.4066505,64.04057289999996,41.920612000000006,271.37454215,301.77859234999994,-68.76758070294629,-69.3089414317182,-67.43516401017042,-63.30922439307722,-55.282424191140535,-36.053768580196014,-83.43073555502737,-72.7245967419267
6,54,second_300,300,601,1,300,4_redirect_kv_pp2,358.46988167333325,303.10539600000004,685.3153958500001,928.9624315799998,25.195086277924844,21.487636658061767,46.73632168630298,80.19445145999954,982.0493497633331,911.1756715,1776.63261065,1929.4066505,64.04057289999996,41.920612000000006,271.37454215,301.77859234999994,-63.49777312517727,-66.73469173062749,-61.426161394208,-51.852429277194524,-60.65761885474191,-48.742073092678694,-82.7779270243891,-73.42606351381255
7,63,full,599,601,1,300,4_redirect_kv_pp2,497.101693315526,461.916292,968.6726503000004,1260.7289385,40.16199367688797,30.403090809782608,100.84903250000005,181.0734223016664,1263.3979043733332,1177.9556360000001,2379.8934435500005,2541.8180871199997,63.98865636999998,42.1039815,274.6927729,300.4440909,-60.65359206353149,-60.786613868707704,-59.29764616456665,-50.400504863490625,-37.23576028122814,-27.79046131353966,-63.286608731889196,-39.73140834314661
7,63,first_300,299,601,1,300,4_redirect_kv_pp2,369.7373979899667,326.887625,716.8018542000002,1045.1721653199993,43.48819343318582,36.672233197530865,92.59934187834234,139.90222667299975,1263.3979043733332,1177.9556360000001,2379.8934435500005,2541.8180871199997,63.98865636999998,42.1039815,274.6927729,300.4440909,-70.73468329256389,-72.24958096809004,-69.88092655397324,-58.88092186391557,-32.03765182734085,-12.90079491049828,-66.28985142173636,-53.43485496622235
7,63,second_300,300,601,1,300,4_redirect_kv_pp2,624.0414409899996,607.2565415,1089.76638125,1313.6203145899995,36.84688125311118,24.702515327603077,119.43885074787971,218.48413415416655,1263.3979043733332,1177.9556360000001,2379.8934435500005,2541.8180871199997,63.98865636999998,42.1039815,274.6927729,300.4440909,-50.606104471929235,-48.44826724017645,-54.20944646897993,-48.319656656531485,-42.41654170693568,-41.32974021090363,-56.519114250100564,-27.279603503040118
8,72,full,599,601,1,300,4_redirect_kv_pp2,639.8136371619366,536.831458,1357.749,1597.40001898,42.8052285320755,29.751331454545454,114.80546477978564,241.1181856209084,1523.0329280233339,1451.9659905,2864.8496198,3049.5368023099995,64.06459120000004,42.1793605,279.60047195,300.66678828000005,-57.99082046162207,-63.02727050685696,-52.60662232962905,-47.61827377292243,-33.18426336563359,-29.464716624744813,-58.93945958706539,-19.805513937786902
8,72,first_300,299,601,1,300,4_redirect_kv_pp2,427.59462803678923,355.940333,1011.2699500000003,1411.539390839998,48.07628779007406,38.31456389903846,123.229393287361,228.66122170499978,1523.0329280233339,1451.9659905,2864.8496198,3049.5368023099995,64.06459120000004,42.1793605,279.60047195,300.66678828000005,-71.92479425958686,-75.48562877306595,-64.70076673446479,-53.71299045249205,-24.956537004993752,-9.162767180791043,-55.9266147056441,-23.948626646433624
8,72,second_300,300,601,1,300,4_redirect_kv_pp2,851.32524959,887.6704795,1446.83366905,1613.1559988299996,37.55173947160361,24.066402999659964,95.29034917196978,327.875097875,1523.0329280233339,1451.9659905,2864.8496198,3049.5368023099995,64.06459120000004,42.1793605,279.60047195,300.66678828000005,-44.10329324298383,-38.864237502262625,-49.497046579673324,-47.101605804263556,-41.38456397173796,-42.9427029846506,-65.91910288727615,9.049323256036468
9,81,full,599,601,1,300,4_redirect_kv_pp2,792.2237611268785,670.715583,1678.1238669000002,1940.670595,49.05471838958257,32.39644367588933,152.97245052500003,276.27100597881446,1730.8037871033328,1636.680736,3268.6786675000003,3494.24347137,63.71583285333335,42.0254465,279.0147276,298.01527520999997,-54.22798545797376,-59.01976676042455,-48.66048218243832,-44.46092234554237,-23.010159025150024,-22.91231533759117,-45.17405878864438,-7.296360636501986
9,81,first_300,299,601,1,300,4_redirect_kv_pp2,710.3903638528428,601.625959,1568.7588834000003,2039.8983511599995,59.33278731572473,43.730390725490196,169.49886785000018,260.36629296499973,1730.8037871033328,1636.680736,3268.6786675000003,3494.24347137,63.71583285333335,42.0254465,279.0147276,298.01527520999997,-58.95604290063695,-63.24109242769262,-52.00632907119493,-41.62117299856585,-6.879052413389775,4.056933042912925,-39.25092438382089,-12.633239091006477
9,81,second_300,300,601,1,300,4_redirect_kv_pp2,873.7843804099999,828.1991250000001,1716.8517524,1898.6792371699994,38.81090969319428,25.13053659536297,112.05021756599332,323.51302411999984,1730.8037871033328,1636.680736,3268.6786675000003,3494.24347137,63.71583285333335,42.0254465,279.0147276,298.01527520999997,-49.51568820678614,-49.39763713330587,-47.47566441845726,-45.66265193805806,-39.08749528153762,-40.20161904677689,-59.84075158690896,8.55585301526325
10,90,full,599,601,1,300,4_redirect_kv_pp2,980.9192740150246,872.459875,2197.6821536,2824.2566063399977,59.24255047650603,41.512812556164384,183.81783159147741,328.12377323,1907.7476663266661,1871.0018380000001,3614.82258245,3843.8764238,63.83388002666666,42.0860945,279.38348055,297.97875483999997,-48.58233657788888,-53.36937370769168,-39.20359565446534,-26.525821983944553,-7.192621768005636,-1.3621647497740974,-34.20590536362068,10.116499213571917
10,90,first_300,299,601,1,300,4_redirect_kv_pp2,723.2288701404683,635.83675,1578.0685256000002,1983.92999918,69.49247781528756,54.03721549479167,214.32814683986015,326.52573232545456,1907.7476663266661,1871.0018380000001,3614.82258245,3843.8764238,63.83388002666666,42.0860945,279.38348055,297.97875483999997,-62.08990932574262,-66.01624129457429,-56.344509596085324,-48.38725857844525,8.864568135693784,28.39684018385613,-23.285318653082353,9.580205642775752
10,90,second_300,300,601,1,300,4_redirect_kv_pp2,1237.7507098766664,1210.196729,2607.3342878000003,3009.0056608399996,49.026789562186984,35.98689293335853,124.66151498076943,332.032965875,1907.7476663266661,1871.0018380000001,3614.82258245,3843.8764238,63.83388002666666,42.0860945,279.38348055,297.97875483999997,-35.119789072527965,-35.31825012563136,-27.87103022818783,-21.71950060076747,-23.19628770535961,-14.492201376968982,-55.37978310837912,11.428402354820722
